cancer_type	repeat_family	repeat_family_size	overlaps	odds_ratio	giggle_score
LUAD	LTR10A	334	87	71.324695928080388	733.24342541712661
COAD	LTR10F	448	65	64.890376477700158	533.47604548096709
LUAD	LTR5_Hs	674	103	26.175059262594317	472.87927915636127
CHOL	MER51A	651	46	91.32491114924035	458.30664249044428
KIRP	LTR2B	355	54	50.500730253844225	384.26057271760537
SKCM	MER11B	1010	102	18.621111861333105	364.20719228839937
LUAD	SVA_A	1618	128	14.260391318870557	363.81016703186632
COAD	MER11B	1010	85	22.411496514850704	353.60458183741633
STAD	LTR10F	448	53	42.868446756037407	343.87314615538911
COAD	LTR10A	334	44	56.034299409034936	334.65090676992716
CESC	LTR10A	334	27	127.10111853464453	316.8373064206552
BRCA	MER11D	266	66	27.680699794049342	309.18233044202998
ESCA	LTR10F	448	51	36.724219318744765	300.41360826150957
KIRC	LTR2B	355	33	75.130641853901622	297.70270440399069
BLCA	MER11D	266	45	38.492552368319231	270.45949738175386
COAD	MER11A	555	53	29.245191723971939	268.68863610036982
CESC	LTR10F	448	26	92.726503982227058	263.21430485913059
PRAD	LTR5B	539	55	25.089319587628864	249.41476760073712
CHOL	LTR10A	334	24	91.084111365074449	240.66450139726176
PRAD	LTR10C	516	48	28.636818802857093	240.28372677295638
BLCA	LTR10A	334	41	35.202707777036046	235.15351346072524
KIRP	PABL_A	676	53	23.202054031843218	228.08554909710018
STAD	LTR10A	334	37	38.505449832439773	225.7444469375177
LUAD	LTR10F	448	48	25.476240705480262	220.32863471219454
KIRP	Harlequin-int	617	64	16.310550940069138	205.33603084706038
CHOL	LTR9	833	30	44.709300579596984	203.95017754192908
LUSC	LTR7Y	467	43	26.196883521620567	202.40794331603116
BRCA	LTR10C	516	65	15.803214039238885	201.7390781073436
BLCA	HERVE_a-int	270	46	23.562730747693131	196.26919679547998
ESCA	LTR10A	334	34	31.395962594295408	181.93180521433356
KIRP	LTR13	532	48	19.084459773476574	177.0563770585691
BRCA	LTR10A	334	48	18.831764515503661	172.83468329082234
COAD	LTR7Y	467	32	31.016361331129982	171.11090227758434
THCA	HERVE_a-int	270	37	25.256035884727869	168.19195214234532
LIHC	LTR13	532	39	22.293995322277773	163.71332514427999
BLCA	LTR10F	448	37	23.621425837998721	162.11630582391056
KIRC	Harlequin-int	617	37	23.454661773779755	161.89150113834743
KIRC	LTR13	532	30	29.991893728689202	157.22752981376192
HNSC	LTR10F	448	31	28.579528039497838	156.74061543510358
HNSC	MER44B	2660	64	11.074546478987063	145.93758595399575
BLCA	LTR10C	516	38	19.6729045184256	144.7853374832527
BLCA	LTR2B	355	31	24.414007565468236	139.47583792940335
GBM	MER41B	2934	46	14.670558535359261	137.97488720638335
LUSC	LTR10F	448	35	20.186506429072995	136.17810914549441
SKCM	MER44B	2660	75	8.9337225550345689	135.4400804463244
THCA	SVA_A	1618	60	10.893808781554883	134.22125640975941
KIRC	LTR13A	237	19	46.383653196919234	132.15066386814844
THCA	LTR13A	237	25	29.722159567882912	129.42113205632854
LIHC	LTR2B	355	24	30.349898706727441	127.09974126513137
SKCM	LTR3B	331	27	25.321991749963761	125.24863064750059
LUSC	LTR10A	334	29	21.882944523581564	120.33414170411877
KIRP	LTR13A	237	26	25.124817485187709	119.27024959694235
LGG	MER41B	2934	40	14.302062222754666	117.62059689656235
BLCA	MER39B	1284	50	11.193567169295964	115.36592868831894
KIRP	LTR10F	448	29	20.406885886374734	114.54906092144433
CHOL	MER41B	2934	35	15.301432360742705	109.58538899840513
STAD	MER11B	1010	50	10.634455359448124	109.12905406675014
KIRP	LTR10A	334	25	23.041381663560724	108.47743492787885
PRAD	MER11D	266	25	22.589302282712215	106.41603594470961
ACC	LTR13	532	30	17.677858709598336	105.64402149705953
BRCA	LTR3A	178	26	20.253231934758936	100.37836737347056
ACC	LTR10A	334	20	27.813130939158338	100.22883842481774
ESCA	MER11B	1010	47	8.9188823421743315	85.044052634412993
THCA	LTR5_Hs	674	32	12.468322142557426	82.671640470419764
KIRP	LTR5_Hs	674	35	11.072052117263844	80.196375287597524
KIRC	PABL_A	676	19	20.917738876065542	77.788549313776514
STAD	MER11A	555	28	12.444065002355158	72.392472867551238
CHOL	LTR10F	448	12	34.898227307398926	71.260228684442621
