cell_line	tf	cistrome_id	cell_line_file_size	overlaps	odds_ratio	fishers_two_tail	giggle_score
293T	ZNF562	77089	648	139	2248.6903912420335	5.6916401669072243e-202	2240.834133169611
WIBR3	TRIM28	70222	7924	135	134.83377611291775	9.5145116507226708e-202	1422.2355803243328
H1975	ZEB1	84926	7190	139	127.24683731339466	8.4655276776532903e-201	1398.8030035511867
Calu-3	JUN	76279	14141	150	88.089736743781259	1.7801983208306623e-202	1303.483959705172
Calu-3	JUND	76277	7720	115	116.67804593627457	1.6521982197920766e-185	1268.7847245484689
Calu-3	JUN	76278	9211	116	103.23445113979416	5.012213015477559e-181	1206.1672615430178
WIBR3	TRIM28	70221	35522	202	46.316531242037314	1.3668077639194225e-201	1111.4735853298445
K562	SUMO2	55347	11051	117	81.449342698309565	1.0693000261788179e-170	1078.9465764723427
H358	STAT3	87919	28139	168	43.69783697145261	3.9814270100932169e-197	1070.2796176083198
HCT-116	ATF3	68464	60225	240	38.892705653459359	3.8328237514511471e-201	1058.4851545431459
HCT-116	FOSL1	46212	70141	285	34.282729228197105	7.600241184173506e-202	1025.5891323526377
HCT-116	USF1	46205	57530	241	34.169398484669074	2.260361470408202e-201	1022.2168157273652
HCT-116	CBX3	46209	97142	333	31.766924444340152	8.98344419194699e-201	998.12299767979575
HT29	POLR2A	69781	56828	220	29.914983998683862	4.7625334806143411e-201	982.13877172309136
HT29	POLR2A	69783	73721	265	29.538706587880242	3.1668945454608899e-201	979.34612273391397
K562	SUMO2	55343	4978	84	126.84529269384876	9.8247588731734269e-140	971.23638406708331
HCT-116	JUND	46213	69908	249	27.730718596194112	3.4159924664557636e-201	960.91866554674981
U2OS	SETDB1	46045	63492	227	27.362262297070885	7.8302370033649469e-201	955.3302531309778
HCT-116	SP1	46215	72471	245	25.480867621503375	4.8159874116243954e-201	935.75078483559251
HT29	JUND	69774	36701	174	33.685024834949971	9.1071906819405219e-185	933.8286090915306
K562	SUMO2	55342	19307	127	50.765738200692397	2.9928547193251033e-159	898.16213799256332
HT29	PPARG	69798	52419	189	27.507307578349817	1.1950266539636659e-183	874.68897475225331
HT29	POLR2A	69782	85702	258	20.601601963496901	5.3775331403323641e-201	874.11284370495099
HT29	JUND	69775	31571	159	32.881950347309456	3.2873779927643034e-168	843.98510549634275
MCF-10A	FOS	45999	148736	290	17.945593746441819	1.1238762730098259e-201	837.06583724421717
K562	TRIM24	64820	39223	176	27.756919637876507	1.3970068407267044e-172	824.00520308353758
MCF-10A	FOS	46004	123589	254	18.196241318983766	3.1341778000149266e-197	822.4804483871426
K562	TRIM24	64947	20441	133	40.78143954789109	4.0326812666457413e-154	820.63565179254268
HCT-116	ATF3	68460	25930	129	42.567205457795986	4.4593635247039385e-152	819.06026134181519
HCT-116	MAX	46216	74266	222	20.825765485274399	2.1141316928995489e-187	817.69147986860151
K562	TRIM24	64819	41883	176	26.200607215464039	2.1674395271204334e-168	789.95393776147828
MCF-10A	E2F4	46000	36779	152	31.100513268537728	9.7943864581569325e-158	778.58678082904438
HT29	POLR2A	69780	63701	205	21.019402518750528	3.0451146639064821e-175	766.7639222101991
HCT-116	SRF	46211	57748	188	22.944645285396835	9.9227683981122258e-169	759.38960030696413
K562	SUMO2	55346	4883	71	106.80074797423643	2.1110613579981702e-113	759.29516808555336
HT29	NR1H3	69799	68495	198	21.209403582687791	1.4716981073490763e-170	748.38794959685396
NOMO-1	BRD9	76526	26950	123	39.090023038915021	6.538321544712223e-141	741.3979429512952
HT29	NR1H3	69800	47709	168	25.070522419607173	3.0210850306851913e-158	732.13962532440305
MCF-10A	FOS	46005	146868	261	15.399399220515287	1.2505049047278051e-184	725.46061525935938
K562	SETDB1	45887	10675	92	59.78577795852641	3.5165955923800932e-123	722.68977517256084
HT29	PPARG	69796	32617	146	29.198005712904472	5.0915055711737302e-148	716.99330878608327
HCT-116	ATF3	46217	49476	166	24.134976107119748	6.6957916772766069e-154	703.537285536606
K562	TRIM24	64948	22884	127	33.921108993465261	1.1010239922820248e-137	696.31076668874971
K562	ZEB2	62508	35665	156	25.692616353400876	2.9846763647666409e-149	695.58492637380047
HCT-116	CEBPB	46206	66557	189	20.329413834457192	3.1143668684966008e-160	693.13553734886261
