cell_line	tf	cistrome_id	cell_line_file_size	overlaps	odds_ratio	fishers_two_tail	combo_score
293T	ZNF562	77089	648	139	2248.6903912420335	5.6916401669072243e-202	2240.834133169611
WIBR3	TRIM28	70222	7924	135	134.83377611291775	9.5145116507226708e-202	1422.2355803243328
H1975	ZEB1	84926	7190	139	127.24683731339466	8.4655276776532903e-201	1398.8030035511867
HCT-116	CBX3	46209	97142	333	31.766924444340152	8.98344419194699e-201	998.12299767979575
U2OS	SETDB1	46045	63492	227	27.362262297070885	7.8302370033649469e-201	955.3302531309778
K562	ZEB2	62508	35665	156	25.692616353400876	2.9846763647666409e-149	695.58492637380047
H1	E2F6	46177	68616	167	16.814179336884678	3.1900379733955565e-130	527.25758144153969
293T	ZNF671	77066	4559	53	82.169711313265779	2.3269491523643495e-79	500.14928785356605
HCT-116	SIN3A	46208	33224	115	22.566601447086786	7.9438926268723174e-106	472.54177384823121
GM12878	CBX5	63410	42605	107	17.436743452787123	1.4449946236911046e-87	358.13381068808135
293T	ZNF506	77104	11042	54	37.375995500995501	8.7122958374878283e-63	324.20323585960454
293T	ZNF561	77090	1695	25	112.31044146513649	1.2126896107721162e-41	278.69483019677056
HEK293	ZNF264	63773	3556	35	56.450414947695386	1.9814180625915075e-47	271.76079921372494
