cell_line	tf	cistrome_id	cell_line_file_size	overlaps	odds_ratio	fishers_two_tail	combo_score
HCT-116	ATF3	68464	60225	240	38.892705653459359	3.8328237514511471e-201	1058.4851545431459
HCT-116	FOSL1	46212	70141	285	34.282729228197105	7.600241184173506e-202	1025.5891323526377
HCT-116	USF1	46205	57530	241	34.169398484669074	2.260361470408202e-201	1022.2168157273652
HT29	POLR2A	69781	56828	220	29.914983998683862	4.7625334806143411e-201	982.13877172309136
HCT-116	JUND	46213	69908	249	27.730718596194112	3.4159924664557636e-201	960.91866554674981
HT29	PPARG	69798	52419	189	27.507307578349817	1.1950266539636659e-183	874.68897475225331
HCT-116	SRF	46211	57748	188	22.944645285396835	9.9227683981122258e-169	759.38960030696413
HT29	NR1H3	69799	68495	198	21.209403582687791	1.4716981073490763e-170	748.38794959685396
HCT-116	CEBPB	46206	66557	189	20.329413834457192	3.1143668684966008e-160	693.13553734886261
HT29	NR1H2	69804	38013	131	24.254449699663446	1.4251253654023305e-123	565.11408622986153
HCT-116	EP300	42907	19798	95	34.190334859855994	1.1437624224018843e-104	529.63648017480485
HCT-116	TEAD4	46210	39773	123	22.259226164062941	4.3274543530192476e-112	498.50114417391795
HCT-116	NIPBL	88450	28604	122	22.332622648916576	2.2889631663183696e-111	495.78839604835667
HCT-116	ELF1	46202	45158	136	19.276184879431078	3.2864697193060773e-115	488.70018997736251
HCT-116	EGR1	46214	47145	128	17.170518142378423	7.6673528959311423e-103	418.86305874263667
LoVo	FOXO4	42849	174	13	515.78387837338857	1.2198156614257647e-30	269.54112156046084
LoVo	JUN	42727	30485	70	13.153912008168378	1.388075813366309e-50	185.3415913447491
