geneName	Cobi_24h_1	Cobi_24h_2	TNF_24h_1	TNF_24h_2	UT_24h_1	UT_24h_2
GNB1	4854.76321676043	4881.7291384357	6774.69857292154	6717.942278589	6020.56614061508	5973.12684927622
PTP4A2	3239.33360612118	3331.94047807511	5371.54860435342	5452.56909979895	4329.26355492017	4358.13631013177
FDPS	1151.45704050155	1240.67206188975	2488.40699602028	2630.39047750176	2175.04954914487	2240.44447596926
DAP3	1146.16054997486	1171.27853978406	1927.3575337196	1956.45336534346	1635.13720791607	1660.08334633876
MEF2D	901.462687641965	886.344532350053	1326.30829737122	1265.37317879005	1076.20110969767	1088.07273655905
SNRPE	728.797096472	702.346557069793	1192.62484200126	1226.80126140102	931.258199300677	1035.46446149902
PPP1R15B	1210.77773440043	1158.66153576484	2384.19705836968	2417.17348971241	1945.85857207962	1997.44434831102
RNASEH1	798.710771424256	774.894330180295	1702.09564829306	1742.16493540442	1434.93481293023	1355.28937178461
AC010733.1	162.072610116593	131.427125200186	465.26052971276	467.148777267114	188.42578351609	219.618672076002
EIF5B	2555.02703007335	2691.6275240998	4135.76611140596	3838.97722235796	3179.68509683402	3386.9708514839
DDX18	1384.50262367573	1447.80121120525	2845.24708555111	2671.10527919017	2186.82616061462	2314.76410264136
SPOPL	968.198468278209	918.938459399699	1698.93777139456	1682.16417502149	1110.62505091696	1346.10379994873
ANKRD28	699.136749522558	683.421051040966	1162.09869864906	1191.44367046108	914.046228691034	982.856186438992
CDC25A	74.1508673736046	62.0336030944877	359.99796642933	313.932549860698	190.237569896053	244.670231628398
DUSP7	153.598225273895	130.375708198584	391.576735414359	379.290520992106	240.967588535	268.051687210634
GNL3	1916.27027255501	1925.14452993232	3242.08694912964	3272.18432516919	2349.88693481124	2525.19720288149
CHMP2B	845.319888059093	847.442103290798	1627.35922836182	1652.16379483002	1031.81234338859	1270.94912129154
MGLL	100.633320007035	93.5761131425323	397.892489211365	425.362533429001	170.307919716466	183.711436717569
ATP13A3	2780.65752651017	2602.25707896368	5442.07452175332	5529.71293457701	3487.68878142763	4131.83722217513
FBXO45	399.355385712128	355.378946541302	1186.30908820425	1120.7284885812	779.974036573816	869.289116468131
FGF2	109.107704849733	84.1133601281189	355.787463897993	349.29014080064	163.966667386598	154.484617239774
TICAM2	108.048406744395	128.272874195381	378.945227820347	470.3631037162	247.308840864869	308.969234479547
TMED7-TICAM2	751.042356684081	749.66032214186	1236.8351185803	1354.30287721475	985.611790699549	1112.28924412637
ATG12	3277.46833791332	3006.00120757865	5387.33798884594	5657.21455039074	4057.49559792581	4368.99198593781
AP3S1	4804.97620580958	4831.26112235883	6898.90839759599	6726.51381578657	5341.14624812917	5670.83803067731
PPARGC1B	115.463493481756	150.352631229013	295.787802826438	322.50408705826	178.460958426297	210.433100240124
ABCF1	623.926584043616	698.140889063387	1302.09790781603	1281.44481103548	978.3646451797	954.464418946277
MDC1	555.072207196697	526.759917802344	1623.14872583049	1594.30591874648	1209.36740862491	1268.4439653363
IER3	698.077451417221	780.151415188303	11366.2515833447	12008.723613784	9441.2188259841	8151.77747834956
MDN1	1325.18192977685	1405.74453114119	2313.67114096979	2250.02851435995	1698.54973121476	1823.75353541441
AC010655.4	248.935054754244	292.293926445213	487.36566800228	492.863388859799	327.027441583214	365.752769464977
HILPDA	122.878580219116	141.941295216201	822.100619243587	898.939963594286	302.568325453722	460.113643779001
AC010655.2	43.4312223188256	60.9821860928862	237.893393020551	273.21774817228	104.177716847838	129.433057687378
MCPH1	231.986285068849	228.157489347522	445.260642688908	451.077145021686	318.874402873384	333.185742046863
AGPAT5	805.066560056279	766.482994167483	1970.51518466581	1977.88220833737	1514.65341364857	1802.87723578741
AL138752.2	721.382009734639	752.814573146664	1608.41196697081	1553.59111705806	1280.02707744344	1337.75328009793
SHB	155.71682148457	140.889878214599	654.733143622933	651.436827014691	461.099633700432	430.051772316126
SVIL	329.441710759872	341.710525520483	774.732465766043	763.938252732689	413.99318782141	456.773435838682
PPA1	1305.05526577544	1300.60283098104	2861.03647004362	3006.46667204478	2366.1930122309	2435.01158849286
GHITM	2541.25615470396	2502.37246381154	3849.45193927503	3780.04790412472	3321.91032766107	3398.66157927502
DENND5A	836.845503216395	882.138864343647	1323.15042047271	1271.80183168822	1049.93020718821	1044.6500333349
SBF2	581.554659830128	629.79878395929	1084.20440181933	1042.51321165345	905.893189981203	855.928284706853
GALNT18	148.301734747209	103.038866156946	495.786673064954	585.007413733588	346.957091762801	377.443497256095
QSER1	1449.1198081013	1445.69837720204	2081.04087611341	2077.52632825902	1674.99650827524	1888.05253826556
ACER3	427.956434556232	427.926719651805	673.680405013951	726.437777493356	489.18232258985	593.721961391778
ARHGAP42	255.290843386267	275.471254419589	613.680743942396	631.079426170482	347.862984952782	433.391980256446
IPO8	796.592175213581	816.951010244355	1308.41366161303	1344.6598978675	1109.71915772697	1133.16554375337
AMN1	111.226301060407	116.707287177765	547.365329073835	605.364814577797	396.781217211767	364.082665494818
USP15	710.789028681267	623.490281949681	1090.52015561633	1100.37108773699	752.79724087438	867.619012497971
XPOT	1175.8208969243	1257.49473391538	3162.08740103423	3173.61164739723	2889.79927604004	2535.21782670245
GTF2F2	666.298508257104	666.598379015342	1306.30841034736	1235.37279859858	953.905529050207	919.392235572923
PNP	402.533280028139	512.040079779924	967.36295657472	947.154860330571	652.243096786466	763.237514362989
G2E3	431.134328872244	390.075707594151	1099.99378631184	1165.72905886839	808.962618653215	1008.74279797647
ERO1A	1382.38402746506	1364.73926807873	4628.39490757241	5083.9930003038	2752.1035111629	3717.65143757552
PSMC6	977.732151226244	911.578540388488	1693.67464323039	1550.37679060898	1257.37974769391	1400.38217897892
GNPNAT1	748.923760473407	656.084208999327	1074.73077112382	1185.01501756291	861.504423672124	961.979886811995
DDHD1	675.832191205139	624.541698951283	1037.88887397462	1089.65666624003	794.468327613515	875.96953234877
NOP10	720.322711629302	730.734816113033	1188.41433946992	1187.1579018623	1008.25912044908	982.021134453912
ZNF770	1384.50262367573	1445.69837720204	2071.5672454179	2066.81190676207	1537.3007433981	1874.69170650428
JPT2	1637.67487085133	1783.20323471612	3198.92929818343	2957.1803331588	2185.92026742464	2278.85686728293
RNPS1	1431.11174031057	1515.09189930774	2542.09090329483	2650.74787834596	2210.37938355414	2252.97025574545
GSPT1	1426.87454788922	1522.45181831895	2841.03658301977	2691.46268003438	2199.50866527436	2227.91869619306
MT2A	1163.10931966026	1277.47165694581	2905.24674662266	3130.75396140942	2648.83168750504	2528.53741082181
ME2	831.549012689709	903.167204375676	1241.04562111164	1251.44443084401	1021.8475182988	1032.1242535587
DOT1L	488.336426560453	494.165990752698	923.152679995679	955.726397528133	690.290610765677	714.804499228358
ZNF121	981.969343647593	988.331981505397	1523.14929071123	1561.09121210593	1184.00239930543	1362.80483965033
ZNF562	522.233965931244	540.428338823164	1036.83624834178	1075.727918294	733.773483884775	784.113813989986
CDC37	3083.61678463662	3237.31294793098	4272.60744367441	4120.7665077278	3741.33887462237	3432.89871066329
LDLR	807.185156266953	842.18501828279	2948.40439756887	3294.68461031279	2219.43831545395	2536.05287868753
AC022149.1	186.436466539349	179.792307273854	486.313042369446	474.648872314981	370.510314702312	357.402249614179
TPM4	4836.7551489697	5136.17205282326	7201.01195421943	7455.09447757931	6235.26282664062	6699.62207629569
KDM6A	311.433642969139	375.355869571731	633.680630966247	686.794417954633	500.053040869624	535.268322436188
MIR222HG	85.8031465323139	74.6506071137055	257.893280044403	230.360062184471	148.566483156917	150.309357314374
STAG2	2134.48568225448	2096.52550119336	3169.45578046407	3331.11364340243	2813.70424808162	2872.57882867471
