baseMean	log2FoldChange	lfcSE	pvalue	padj
IER3	7074.36672801132	-3.56992610767783	0.0828690309898137	0	0
DUSP4	1685.03015618561	-4.37450567319115	0.122049987574754	2.79285567365762e-282	2.31150699830273e-278
RRM2	4972.69032269168	-2.8785059238744	0.0815047367016444	3.69337140036489e-274	2.03787922634133e-270
H1-0	10543.8200464255	-2.0484065703454	0.059500704372455	8.48362782612153e-261	3.51073728514474e-257
ARID5B	1079.6578621014	3.75268479118486	0.109156205033953	5.28632777477666e-260	1.75009167311756e-256
ABCC2	2775.72028575233	2.54215636928711	0.0762535613557553	1.04294993383522e-244	2.8773250424624e-241
EPHA2	2692.19965385386	-3.57277673638424	0.107973161548446	3.62519668362804e-241	8.57255438629928e-238
MTHFD2	6517.41825313725	-2.09924839747045	0.0635111569232795	1.04053001090104e-240	2.15298665880561e-237
ALDH1A3	6704.92140660497	1.95934038573809	0.0597002188424354	5.01036851384901e-237	9.21518111219363e-234
TUBA1B	16099.6158952972	-1.87107208773441	0.057609127167751	2.4031820274913e-232	3.97798721010635e-229
MKI67	9023.29053510655	-1.96855791879825	0.061767293374151	5.60600111022064e-224	8.43601239795294e-221
ID3	2434.29830553665	2.71711924305715	0.0866623255570136	4.95158757592906e-217	6.83030242869614e-214
MCM7	4277.94564697904	-2.03774542988036	0.0657367863778566	8.84380944351433e-213	1.12608905937302e-209
STC2	1973.79837043104	-3.40020082732672	0.112140819223896	4.78216278267828e-203	5.65422432440526e-200
DUSP6	989.649591494408	-5.38269813253774	0.179915613012681	4.53286743473142e-197	5.00217030980728e-194
VCAN	1736.21282370043	-2.88924157051283	0.0967794822897475	6.87063916566805e-197	7.10810563183145e-194
NT5E	1686.28603523461	-3.01433486054545	0.101864835017028	1.71203874983409e-193	1.66702220152963e-190
ATAD2	3468.89464500968	-2.30987943500293	0.0783340573062299	3.99092392487629e-192	3.6700979849154e-189
ANLN	3305.61122273781	-2.52232050767615	0.0860683414477205	9.66211114162351e-190	8.41773293301547e-187
HMGA1	25598.6493566001	-1.6445007314327	0.0567264557885196	9.6982115936715e-186	8.02672482550222e-183
NCAPG	2115.68270546695	-2.49369079093643	0.0863425126776671	1.69613611193286e-184	1.33695909813451e-181
KIF2C	1741.42076664	-2.6547605838954	0.0921308970495496	1.14025059798904e-183	8.57934915841484e-181
UBE2S	3908.92891093673	-1.99520456935745	0.0698769741480622	2.02601440310509e-180	1.45811375715646e-177
MCM2	2277.98426093592	-2.26879474825723	0.0803325186407802	1.40156006587508e-176	9.66667657101258e-174
ETV5	1365.35408991268	-6.22810827721456	0.222779291611623	4.05563110374566e-172	2.68531446641207e-169
DDIT4	7160.78285003067	-2.28915883303626	0.0822118969198188	2.1392239943724e-171	1.36194518380178e-168
SPRY4	1022.20127435012	-5.54183864385775	0.198918021621825	4.75386841103721e-171	2.91447347436663e-168
UBE2C	1426.94853601825	-2.84359122025554	0.103070570014402	1.31342030955168e-168	7.76465942286032e-166
CENPF	4763.83190218367	-1.723486808903	0.0630628109226158	1.76477911824034e-165	1.00732374980112e-162
PRC1	2229.61979653647	-2.16618388320145	0.0793741513130849	3.54508957576153e-165	1.95606225825268e-162
ITGA6	2595.56646236373	-2.21730988107576	0.0814021904442968	1.87748263327818e-164	1.00251516221463e-161
EREG	14070.9065789338	-1.53322998264694	0.0564696936799292	2.218430515151e-163	1.14755250991546e-160
NTSR1	1967.5587169056	-2.74605779188226	0.102867416798806	3.8332188596038e-158	1.92276581160672e-155
MCM3	2613.69545483823	-2.09292192683282	0.0786779542240569	5.46665884109757e-157	2.66145893519671e-154
H2AZ1	5775.14288550325	-1.58525421955925	0.0597394227202288	7.14229832483051e-156	3.37789897631198e-153
TPX2	3497.82169823392	-2.05266259569	0.0775458182131002	1.62126704841368e-155	7.45467595899766e-153
BHLHE40	2122.19841398034	-2.72545169440837	0.103266449991463	1.27626962921343e-154	5.70975437091081e-152
DUSP5	3287.86153559878	-2.58992412700175	0.098281118106448	3.94727349422594e-154	1.71945310920847e-151
MCM4	3241.96274464313	-2.02899801666447	0.0771507067856587	1.56255538111372e-153	6.63204595476291e-151
EGR1	798.733359656118	-5.3690859495582	0.204417834938936	1.39149283025512e-152	5.75834520480325e-150
ID2	2154.30650087791	2.25971027395457	0.0863305685468079	4.43431235710895e-152	1.79027249871279e-149
PSAT1	3074.76408303961	-2.71354988376436	0.104612136499563	1.6672717618266e-149	6.57103558893233e-147
CCND1	6329.56080950747	-1.59439300058379	0.0620758668189457	1.84514899757267e-146	7.10296543181871e-144
TYMS	2613.08637353012	-1.95596768873613	0.0761971335484819	2.15499670765553e-146	8.1071955685959e-144
TUBA1C	6502.03056828434	-1.61973254591535	0.0631821800678727	3.71243822455774e-146	1.36559977624676e-143
SLC7A1	3038.0001624842	-2.58751577179803	0.101014110123834	7.10972586459167e-146	2.55841939644752e-143
ATF4	6901.91219055967	-1.69127219647169	0.0662575031369359	1.03666871237456e-144	3.65105897785876e-142
PRR11	2887.52131884102	-1.8283967664101	0.0718874138453437	1.66334847939101e-143	5.73612653736656e-141
SOX9	1038.82560923936	-2.85156119217628	0.112352463027487	3.25767540107538e-143	1.10049593702042e-140
KPNA2	4688.71255660571	-1.63138258393638	0.0650139816860742	1.07253181911055e-140	3.55072384034739e-138
TUBB	14028.9603782971	-1.47819366655065	0.058830791603416	2.76600450234973e-140	8.97758284850885e-138
BIRC5	2052.82064735269	-2.02529300621714	0.0810624754279862	7.83256177925291e-139	2.49331529099949e-136
CCNB1	2563.62127517315	-1.8553003531902	0.0744769596929524	3.53895565669609e-138	1.10528930160925e-135
AHNAK2	2946.3589327316	1.69087825978699	0.0678238986655159	3.8475827182256e-138	1.17942660619979e-135
ERRFI1	17779.8832395941	-1.58881662835421	0.063920978405672	1.38526945689738e-137	4.16915733091314e-135
MYBL2	1349.36039023478	-2.50843858539023	0.101488936617674	4.75162769853306e-136	1.4045302373896e-133
TOP2A	3247.97919253621	-1.99998442229795	0.0809356676363757	7.18400974737994e-136	2.08626163769088e-133
ARHGAP11A	2042.47852892109	-2.16520084134854	0.0884421090425823	1.95262979703148e-133	5.57273810866588e-131
HMGB2	5623.05901630442	-1.70062583794615	0.0695487303222621	3.79448815852252e-133	1.06457902522073e-130
FANCI	1452.45937868532	-2.31307170134975	0.0943467954341552	9.16454434483753e-133	2.52834504233493e-130
CDK1	2333.84031425648	-2.54642338649696	0.104771933848017	1.21487055633147e-131	3.29668070802538e-129
TRIOBP	1488.06134026168	-2.54585810961442	0.104823458961964	1.87430131689238e-131	5.00408220943865e-129
SMC4	2987.42364455474	-1.82368161683003	0.0754387346815147	3.61787369921412e-130	9.50581957826846e-128
KIF23	1383.57122524791	-2.31075473675274	0.0969637518451568	1.33098896134007e-126	3.44247816829096e-124
MYEOV	1139.01190501064	-5.86941669963754	0.248062810870212	7.28384707515528e-124	1.85491570207762e-121
BUB1	2076.94671290999	-2.02075017121068	0.0859312328736065	2.55129489803787e-123	6.39872491624558e-121
ALDH3B1	846.322445030247	2.48695683453573	0.105919365033248	4.96706261366866e-123	1.22716100662772e-120
AC068831.8	2521.4286860223	-1.73978831358725	0.0741459329809051	1.00340273487919e-122	2.44254786330225e-120
CDC20	2889.63995073997	-1.7740606460202	0.0758414408943226	4.97885685832257e-122	1.19442054457701e-119
