baseMean	log2FoldChange	lfcSE	pvalue	padj
NFKBIA	1359.25212683209	3.39197436217225	0.0999324605136475	6.74114686233115e-254	9.97015620938777e-250
NFKB2	2917.33573227613	2.27915137801725	0.0685368525178656	4.23528505129013e-244	3.13199329542905e-240
BIRC3	2775.67548985832	5.91486710876384	0.188538713540767	4.77655554108749e-217	2.35484188175613e-213
PLAU	2208.44695644828	2.89566607020993	0.0977112092760501	2.50028370886756e-194	9.2447990135378e-191
SDC4	4156.87554330384	2.10985589828113	0.0749231182686463	1.03047973165814e-175	3.04815904624476e-172
DUSP5	3287.86153559878	1.99750878625875	0.0794951045078554	1.37137641426111e-140	3.38044286115363e-137
TNFAIP3	467.61460628607	4.42165158950917	0.176280135090713	7.72762602636921e-140	1.63273698471429e-136
CXCL8	407.928843219088	5.25135969945694	0.219572936247257	3.81751572421458e-127	7.0576321951417e-124
NAV3	510.721737296335	3.3018897396563	0.141189137049539	4.15799701007526e-122	6.83297508655701e-119
ETS1	710.816629018079	2.72233443438435	0.122220338220409	4.724302843692e-111	6.98724390582048e-108
RELB	413.758420284112	3.37110627252665	0.158226720185774	6.77550953880167e-102	9.10998055262515e-99
ANKRD33B	861.861365611183	2.38868852425569	0.11503447760828	5.63626042239305e-97	6.94669097059943e-94
FGD6	1152.3480942708	2.01982246353157	0.0975833763339212	2.08716354014097e-96	2.37454990451423e-93
OPTN	989.02944782649	2.11927614790691	0.103869676246942	8.56829944731118e-94	9.05179634469517e-91
TXNRD1	12102.8236697862	1.08740864377584	0.0542708370348983	1.84518194166801e-90	1.81934939448465e-87
TNFAIP2	1327.25168275724	1.91630834086589	0.0961240794137465	1.13311623063489e-89	1.04742431569313e-86
LAMB3	1954.23874349627	1.71095626668767	0.0863261083795908	1.33719082849777e-88	1.16335602079306e-85
ID1	4585.74842563342	-1.37874176056347	0.0708783827476982	1.92930261031362e-85	1.58524364480769e-82
