baseMean	log2FoldChange	lfcSE	pvalue	padj
HERVH-int	20901.6964001496	-2.40577976504466	0.0618328928445344	0	0
LTR7Y	2513.39870770163	-2.14090986443862	0.0824533532780516	6.40948235313087e-150	2.26895675300833e-147
LTR7	636.622249217037	-2.35913555529273	0.138930184836137	6.67684424192169e-66	1.57573524109352e-63
HERVIP10F-int	526.283644962422	-2.19534685980483	0.141375317919103	1.32230089801247e-55	2.34047258948207e-53
HERVIP10FH-int	271.997751652043	-1.47287718066891	0.183374848118071	5.66647638789167e-17	8.0237305652546e-15
L1PREC2	840.374003636041	-0.72827055071834	0.109792546484105	2.94793341119563e-12	3.47856142521084e-10
L1PA2	1398.72421208981	0.550173349698291	0.0990336142092179	3.51226320211088e-09	3.55240335299215e-07
LTR10A	69.9984070542128	-1.61330708428538	0.357927588557402	3.42153517418395e-07	3.0280586291528e-05
AluSc8	1996.0050418431	-0.37582273160143	0.0789216247070077	4.41895990584879e-07	3.47624845926772e-05
LTR48B	147.184897409575	0.967351223684681	0.237423884321734	2.86848785745881e-06	0.000203088940308084
LTR12C	665.592056030987	-0.524570884949527	0.127233886031647	4.72685538125488e-06	0.000304237600902587
HERVE-int	161.625776972614	0.81895076434418	0.22848204202505	2.29895474453263e-05	0.00135638329927425
SVA_F	340.858740688358	-0.559376138483039	0.159363229471274	4.87047665629927e-05	0.00265253651743068
LTR12D	57.7411505061631	-1.26854399341229	0.4099428334314	9.10596668621837e-05	0.004605017438459
Tigger6a	81.6173267528268	-0.955398367019648	0.334219389846119	0.00022308204442319	0.0105294724967746
AluSq2	6197.51024701416	-0.206974083893923	0.0607660004899996	0.000367678037021074	0.0162697531381825
HERV4_I-int	299.474429480555	0.499917878699172	0.173370121145164	0.000475943558100555	0.01700386734267
L1PA12	252.530063985635	0.530404288459981	0.18547303646671	0.000461765561097876	0.01700386734267
MER41B	155.921248276816	0.655983982712499	0.239864644248406	0.000480335235668644	0.01700386734267
