baseMean	log2FoldChange	lfcSE	pvalue	padj
HERVH-int	41748.7410518308	0.581626031201189	0.0779533754377322	4.43490854208875e-15	4.43934345063084e-12
LTR7	1304.54338898157	0.628672073728243	0.118967510824199	5.8727266634561e-09	2.93929969505978e-06
LTR7Y	4574.36279896514	0.42120402995415	0.0810345445735375	1.02198611301818e-08	3.41002699710401e-06
HERVIP10FH-int	512.389019427294	0.708683874293543	0.142048606843988	2.7221695289971e-08	6.81222924631525e-06
HERVIP10F-int	1025.11813896861	0.5447211056546	0.123484947421907	4.61926338547903e-07	9.24776529772901e-05
AluSc8	1917.55845805369	-0.285399888969443	0.0939306235231459	0.000119046101553728	0.019860857942547
HERV9NC-int	140.124331515032	-0.717504670577597	0.272901979841794	0.000279680032723387	0.0399942446794443
L1P4a	32.5040569799577	-1.14630478049933	0.598265774158189	0.00140770943813448	0.176139643446577
AluYb8	589.890732785076	0.305155313093436	0.166425355009285	0.00216755763209019	0.241080576635809
MER45B	48.8870696315746	0.0244962087423094	0.0654296869745032	0.00895044517643203	0.895939562160846
MER21C	1013.27907927834	0.164660923955993	0.146557071838033	0.0104328276332378	0.949387314624644
Alu	180.074905940579	0.00657288188387384	0.0564498096544177	0.674273921873923	0.999642617610237
AluJb	12272.6410312489	0.00288442019464437	0.0437495521806351	0.872074524941877	0.999642617610237
AluJo	7306.83894063389	-0.00316163206200259	0.0445263232520276	0.91355375169716	0.999642617610237
AluJr4	1713.0120769935	0.0162684153854157	0.0507929693912706	0.553290516410207	0.999642617610237
AluJr	8600.9832204166	0.0155042699735247	0.0460224654505368	0.546551712981859	0.999642617610237
AluSc5	574.340760305075	0.035116979553259	0.0659087533978067	0.156589990320947	0.999642617610237
AluSc	2615.89594713737	0.0156593167318385	0.0489931767449675	0.579540653473844	0.999642617610237
AluSg4	633.140587583188	-0.00407782975210247	0.0526070816282094	0.8574351605166	0.999642617610237
