Row.names	baseMean.x	log2FoldChange.x	lfcSE.x	pvalue.x	padj.x	baseMean.y	log2FoldChange.y	lfcSE.y	pvalue.y	padj.y
IER3	IER3	7074.36672801132	-3.56992610767783	0.0828690309898137	0	0	7074.36672801132	0.393703660654774	0.0744418469734227	2.99092069148983e-08	9.67958797092662e-07
DUSP4	DUSP4	1685.03015618561	-4.37450567319115	0.122049987574754	2.79285567365762e-282	2.31150699830273e-278	1685.03015618561	-0.618982742329733	0.0893339672435799	4.61228895624526e-13	2.96590233316815e-11
RRM2	RRM2	4972.69032269168	-2.8785059238744	0.0815047367016444	3.69337140036489e-274	2.03787922634133e-270	4972.69032269168	-0.0478942284611086	0.0711709948423452	0.471206279940008	0.728919361743578
H1-0	H1-0	10543.8200464255	-2.0484065703454	0.059500704372455	8.48362782612153e-261	3.51073728514474e-257	10543.8200464255	-0.628394952955149	0.058283951060203	4.87605372688198e-28	8.10301512590837e-26
ARID5B	ARID5B	1079.6578621014	3.75268479118486	0.109156205033953	5.28632777477666e-260	1.75009167311756e-256	1079.6578621014	-1.02638693791006	0.151266876347821	8.69221687125213e-13	5.49392681734269e-11
ABCC2	ABCC2	2775.72028575233	2.54215636928711	0.0762535613557553	1.04294993383522e-244	2.8773250424624e-241	2775.72028575233	-0.981763403632331	0.0875865783143996	2.43678608534358e-30	4.44939088916438e-28
EPHA2	EPHA2	2692.19965385386	-3.57277673638424	0.107973161548446	3.62519668362804e-241	8.57255438629928e-238	2692.19965385386	0.670833711450865	0.0873770146467796	1.60674085487773e-15	1.29856269090938e-13
MTHFD2	MTHFD2	6517.41825313725	-2.09924839747045	0.0635111569232795	1.04053001090104e-240	2.15298665880561e-237	6517.41825313725	0.181221113680681	0.058976360021705	0.00122548600812715	0.0117618027645688
ALDH1A3	ALDH1A3	6704.92140660497	1.95934038573809	0.0597002188424354	5.01036851384901e-237	9.21518111219363e-234	6704.92140660497	0.00411947791832225	0.059179395748404	0.938517568592138	0.979335530465065
TUBA1B	TUBA1B	16099.6158952972	-1.87107208773441	0.057609127167751	2.4031820274913e-232	3.97798721010635e-229	16099.6158952972	0.0672894409524935	0.0546806479454639	0.205572005511738	0.469790784047161
MKI67	MKI67	9023.29053510655	-1.96855791879825	0.061767293374151	5.60600111022064e-224	8.43601239795294e-221	9023.29053510655	0.141597826313931	0.0581618045326517	0.0111741575707725	0.065685926260622
ID3	ID3	2434.29830553665	2.71711924305715	0.0866623255570136	4.95158757592906e-217	6.83030242869614e-214	2434.29830553665	-1.28402820459426	0.101982172852116	1.50383108350321e-37	3.97172530803795e-35
MCM7	MCM7	4277.94564697904	-2.03774542988036	0.0657367863778566	8.84380944351433e-213	1.12608905937302e-209	4277.94564697904	-0.00292136915341595	0.0585669643071976	0.954652192669475	0.984678564026888
STC2	STC2	1973.79837043104	-3.40020082732672	0.112140819223896	4.78216278267828e-203	5.65422432440526e-200	1973.79837043104	0.67970740535461	0.087556814348992	7.67448069939517e-16	6.48603254537454e-14
DUSP6	DUSP6	989.649591494408	-5.38269813253774	0.179915613012681	4.53286743473142e-197	5.00217030980728e-194	989.649591494408	-1.09607295779784	0.103297535117487	1.64584095645968e-27	2.70466530511541e-25
VCAN	VCAN	1736.21282370043	-2.88924157051283	0.0967794822897475	6.87063916566805e-197	7.10810563183145e-194	1736.21282370043	0.154270655260712	0.0765500326209521	0.0302116925539047	0.133583507703786
NT5E	NT5E	1686.28603523461	-3.01433486054545	0.101864835017028	1.71203874983409e-193	1.66702220152963e-190	1686.28603523461	0.280398964212344	0.0812120916411142	0.000186840776307282	0.00241976802240342
ATAD2	ATAD2	3468.89464500968	-2.30987943500293	0.0783340573062299	3.99092392487629e-192	3.6700979849154e-189	3468.89464500968	0.25758703638417	0.07088598702774	0.000119500333467526	0.00164563308378464
ANLN	ANLN	3305.61122273781	-2.52232050767615	0.0860683414477205	9.66211114162351e-190	8.41773293301547e-187	3305.61122273781	0.250173334167914	0.0775348479725285	0.000545368511398576	0.00604194777796625
HMGA1	HMGA1	25598.6493566001	-1.6445007314327	0.0567264557885196	9.6982115936715e-186	8.02672482550222e-183	25598.6493566001	0.572129240037016	0.056046428300299	2.35225393015371e-25	3.54998322724218e-23
NCAPG	NCAPG	2115.68270546695	-2.49369079093643	0.0863425126776671	1.69613611193286e-184	1.33695909813451e-181	2115.68270546695	0.198370563620686	0.0730022248144513	0.00367575755675025	0.0281389514825757
KIF2C	KIF2C	1741.42076664	-2.6547605838954	0.0921308970495496	1.14025059798904e-183	8.57934915841484e-181	1741.42076664	-0.0357520605935731	0.0734824674159044	0.602874886418673	0.816381575730835
UBE2S	UBE2S	3908.92891093673	-1.99520456935745	0.0698769741480622	2.02601440310509e-180	1.45811375715646e-177	3908.92891093673	-0.0841973907247753	0.0630404895534676	0.16095867322291	0.406866993157893
MCM2	MCM2	2277.98426093592	-2.26879474825723	0.0803325186407802	1.40156006587508e-176	9.66667657101258e-174	2277.98426093592	-0.179031136219624	0.0707623417111998	0.00704923724976546	0.0468152707211545
ETV5	ETV5	1365.35408991268	-6.22810827721456	0.222779291611623	4.05563110374566e-172	2.68531446641207e-169	1365.35408991268	-0.0991772417966761	0.0971576880774913	0.248711964678594	0.520560146820058
DDIT4	DDIT4	7160.78285003067	-2.28915883303626	0.0822118969198188	2.1392239943724e-171	1.36194518380178e-168	7160.78285003067	0.0534715423664762	0.0747214988793263	0.454844062077764	0.715825467849641
SPRY4	SPRY4	1022.20127435012	-5.54183864385775	0.198918021621825	4.75386841103721e-171	2.91447347436663e-168	1022.20127435012	-0.206658481876467	0.0925648513668647	0.0131154765659157	0.0734208548107091
UBE2C	UBE2C	1426.94853601825	-2.84359122025554	0.103070570014402	1.31342030955168e-168	7.76465942286032e-166	1426.94853601825	0.234559688174712	0.0815226381777984	0.00184332268877382	0.016433238436989
CENPF	CENPF	4763.83190218367	-1.723486808903	0.0630628109226158	1.76477911824034e-165	1.00732374980112e-162	4763.83190218367	-0.0425844445042571	0.0576510933594996	0.443766025753151	0.706113444763227
PRC1	PRC1	2229.61979653647	-2.16618388320145	0.0793741513130849	3.54508957576153e-165	1.95606225825268e-162	2229.61979653647	0.0709159646517515	0.0673380088484594	0.271648850918982	0.546216054143441
ITGA6	ITGA6	2595.56646236373	-2.21730988107576	0.0814021904442968	1.87748263327818e-164	1.00251516221463e-161	2595.56646236373	0.330825933490671	0.0726814415047399	1.54874063913493e-06	3.59589859541689e-05
EREG	EREG	14070.9065789338	-1.53322998264694	0.0564696936799292	2.218430515151e-163	1.14755250991546e-160	14070.9065789338	0.233120584337052	0.0549342292873417	1.19352980221696e-05	0.000222882648671576
NTSR1	NTSR1	1967.5587169056	-2.74605779188226	0.102867416798806	3.8332188596038e-158	1.92276581160672e-155	1967.5587169056	-0.270983465648587	0.0920084200365411	0.00119581159480222	0.0115670722610365
MCM3	MCM3	2613.69545483823	-2.09292192683282	0.0786779542240569	5.46665884109757e-157	2.66145893519671e-154	2613.69545483823	-0.0618771755125841	0.0686201745162191	0.339131058193939	0.616981118172608
H2AZ1	H2AZ1	5775.14288550325	-1.58525421955925	0.0597394227202288	7.14229832483051e-156	3.37789897631198e-153	5775.14288550325	-0.0293201902300842	0.055298973182664	0.564986819682709	0.793440632134583
TPX2	TPX2	3497.82169823392	-2.05266259569	0.0775458182131002	1.62126704841368e-155	7.45467595899766e-153	3497.82169823392	0.013736761712502	0.0685959403337813	0.834115367644012	0.934800809839731
BHLHE40	BHLHE40	2122.19841398034	-2.72545169440837	0.103266449991463	1.27626962921343e-154	5.70975437091081e-152	2122.19841398034	0.150333034294064	0.0877192618540482	0.0589968718359164	0.214283824767486
DUSP5	DUSP5	3287.86153559878	-2.58992412700175	0.098281118106448	3.94727349422594e-154	1.71945310920847e-151	3287.86153559878	1.99750878625875	0.0794951045078554	1.37137641426111e-140	3.38044286115363e-137
MCM4	MCM4	3241.96274464313	-2.02899801666447	0.0771507067856587	1.56255538111372e-153	6.63204595476291e-151	3241.96274464313	-0.0348692990314108	0.0682351291928	0.587110070387171	0.805954885931526
EGR1	EGR1	798.733359656118	-5.3690859495582	0.204417834938936	1.39149283025512e-152	5.75834520480325e-150	798.733359656118	-1.13942363723708	0.124725383304645	3.94951797661623e-21	4.8677809061795e-19
ID2	ID2	2154.30650087791	2.25971027395457	0.0863305685468079	4.43431235710895e-152	1.79027249871279e-149	2154.30650087791	-1.73183478977938	0.103831137654348	1.18471553923275e-63	5.65223962104913e-61
PSAT1	PSAT1	3074.76408303961	-2.71354988376436	0.104612136499563	1.6672717618266e-149	6.57103558893233e-147	3074.76408303961	0.0504336247019736	0.0889439437151491	0.535098021809815	0.771893404282567
CCND1	CCND1	6329.56080950747	-1.59439300058379	0.0620758668189457	1.84514899757267e-146	7.10296543181871e-144	6329.56080950747	0.689774729184571	0.0588596513499504	1.0317055296032e-32	2.21143837432338e-30
TYMS	TYMS	2613.08637353012	-1.95596768873613	0.0761971335484819	2.15499670765553e-146	8.1071955685959e-144	2613.08637353012	-0.0151943712657439	0.0664198834553241	0.78801592937212	0.914467244237101
TUBA1C	TUBA1C	6502.03056828434	-1.61973254591535	0.0631821800678727	3.71243822455774e-146	1.36559977624676e-143	6502.03056828434	0.390094892641819	0.0605345680031528	3.21695867450317e-11	1.63501095518563e-09
SLC7A1	SLC7A1	3038.0001624842	-2.58751577179803	0.101014110123834	7.10972586459167e-146	2.55841939644752e-143	3038.0001624842	0.186771285503553	0.0906912344073034	0.022766854991879	0.109396291530179
ATF4	ATF4	6901.91219055967	-1.69127219647169	0.0662575031369359	1.03666871237456e-144	3.65105897785876e-142	6901.91219055967	0.116610323166447	0.0620911944508229	0.0401942816680801	0.163586523354679
PRR11	PRR11	2887.52131884102	-1.8283967664101	0.0718874138453437	1.66334847939101e-143	5.73612653736656e-141	2887.52131884102	0.103680905901888	0.0639644002105806	0.0924694175434281	0.286799603977643
SOX9	SOX9	1038.82560923936	-2.85156119217628	0.112352463027487	3.25767540107538e-143	1.10049593702042e-140	1038.82560923936	-0.740967378375301	0.0970246971238466	2.01671818613333e-15	1.62104684635391e-13
KPNA2	KPNA2	4688.71255660571	-1.63138258393638	0.0650139816860742	1.07253181911055e-140	3.55072384034739e-138	4688.71255660571	0.322952403470145	0.0613147396598629	4.4902804686411e-08	1.4220824010964e-06
TUBB	TUBB	14028.9603782971	-1.47819366655065	0.058830791603416	2.76600450234973e-140	8.97758284850885e-138	14028.9603782971	0.0500635058240959	0.0559125889409521	0.353597316544435	0.629909674030628
BIRC5	BIRC5	2052.82064735269	-2.02529300621714	0.0810624754279862	7.83256177925291e-139	2.49331529099949e-136	2052.82064735269	-0.134476783136218	0.0712713389647111	0.0440704291241813	0.175121345176422
CCNB1	CCNB1	2563.62127517315	-1.8553003531902	0.0744769596929524	3.53895565669609e-138	1.10528930160925e-135	2563.62127517315	-0.0255480577041961	0.0652509344596482	0.676167614162197	0.859433459906003
AHNAK2	AHNAK2	2946.3589327316	1.69087825978699	0.0678238986655159	3.8475827182256e-138	1.17942660619979e-135	2946.3589327316	-0.29861401064677	0.0719847134569942	1.11891621322709e-05	0.000211081260122815
ERRFI1	ERRFI1	17779.8832395941	-1.58881662835421	0.063920978405672	1.38526945689738e-137	4.16915733091314e-135	17779.8832395941	0.361255727117284	0.0631191605460638	3.10547158668561e-09	1.18989442401762e-07
MYBL2	MYBL2	1349.36039023478	-2.50843858539023	0.101488936617674	4.75162769853306e-136	1.4045302373896e-133	1349.36039023478	0.25104650763378	0.083676724959092	0.00113309751799371	0.0110910074726188
TOP2A	TOP2A	3247.97919253621	-1.99998442229795	0.0809356676363757	7.18400974737994e-136	2.08626163769088e-133	3247.97919253621	0.0381081774393084	0.07160104514383	0.573671162153662	0.79812870716228
ARHGAP11A	ARHGAP11A	2042.47852892109	-2.16520084134854	0.0884421090425823	1.95262979703148e-133	5.57273810866588e-131	2042.47852892109	0.221896571745909	0.077924193324786	0.00219384545990357	0.0187989422664969
HMGB2	HMGB2	5623.05901630442	-1.70062583794615	0.0695487303222621	3.79448815852252e-133	1.06457902522073e-130	5623.05901630442	0.112256823630158	0.064697301209383	0.0653206372063708	0.229475587715493
FANCI	FANCI	1452.45937868532	-2.31307170134975	0.0943467954341552	9.16454434483753e-133	2.52834504233493e-130	1452.45937868532	0.127913742661914	0.0775325573515049	0.0753882550750997	0.251634460067868
CDK1	CDK1	2333.84031425648	-2.54642338649696	0.104771933848017	1.21487055633147e-131	3.29668070802538e-129	2333.84031425648	0.301154292048657	0.0949948542382024	0.000498194851725832	0.00559901356916797
TRIOBP	TRIOBP	1488.06134026168	-2.54585810961442	0.104823458961964	1.87430131689238e-131	5.00408220943865e-129	1488.06134026168	-0.95847763554897	0.0974593490069594	5.82992542645361e-24	8.37132010264553e-22
SMC4	SMC4	2987.42364455474	-1.82368161683003	0.0754387346815147	3.61787369921412e-130	9.50581957826846e-128	2987.42364455474	0.168589169998252	0.0684658335752919	0.00887819238913493	0.0552659738013075
KIF23	KIF23	1383.57122524791	-2.31075473675274	0.0969637518451568	1.33098896134007e-126	3.44247816829096e-124	1383.57122524791	0.172872965407606	0.0804091890672129	0.0198364215560179	0.0990147400653071
MYEOV	MYEOV	1139.01190501064	-5.86941669963754	0.248062810870212	7.28384707515528e-124	1.85491570207762e-121	1139.01190501064	0.692113414793544	0.109540127211306	2.52291976996356e-11	1.31387265485074e-09
BUB1	BUB1	2076.94671290999	-2.02075017121068	0.0859312328736065	2.55129489803787e-123	6.39872491624558e-121	2076.94671290999	0.252836383529153	0.07674130862313	0.000416484076750586	0.00481441430021962
ALDH3B1	ALDH3B1	846.322445030247	2.48695683453573	0.105919365033248	4.96706261366866e-123	1.22716100662772e-120	846.322445030247	-0.916529367438121	0.130808642875821	1.87530486523131e-13	1.24935851156627e-11
AC068831.8	AC068831.8	2521.4286860223	-1.73978831358725	0.0741459329809051	1.00340273487919e-122	2.44254786330225e-120	2521.4286860223	0.0799514764947348	0.065651904837342	0.248489235484826	0.520533681985732
CDC20	CDC20	2889.63995073997	-1.7740606460202	0.0758414408943226	4.97885685832257e-122	1.19442054457701e-119	2889.63995073997	0.0893039022861208	0.0678125338260384	0.163569855491381	0.410939045815784
NCAPG2	NCAPG2	1656.57781535194	-2.04465652265638	0.0875898069897806	1.38703246422014e-121	3.27993548289086e-119	1656.57781535194	0.193623689557281	0.0755000484168794	0.00595140010027049	0.0411121940602525
MCM5	MCM5	1698.9976962135	-2.03669505539472	0.0884317726024583	1.98766617423694e-118	4.63406171579494e-116	1698.9976962135	-0.133069226356678	0.0770367678346058	0.0654967897358057	0.229985166237551
PLK1	PLK1	1649.06023357184	-2.15745976275663	0.094051822975202	1.55698076086925e-117	3.57954201870398e-115	1649.06023357184	-0.0248439223824842	0.0785350098094005	0.732030667834663	0.888001149247843
KIFC1	KIFC1	1079.68953411002	-2.46032558378373	0.107630036274061	9.60510484062824e-117	2.17799041680711e-114	1079.68953411002	-0.0769856179896268	0.0850696391164054	0.320332033685262	0.598195805328917
UBALD2	UBALD2	969.632384526408	-2.65949511878202	0.116408709729696	1.25649846901449e-116	2.81065123751308e-114	969.632384526408	-0.00237390983340203	0.0872119790395325	0.975848505779388	0.990905528085291
RRM1	RRM1	1997.95660219912	-1.83780958342247	0.0806524543973343	5.85786734167744e-116	1.29287037475716e-113	1997.95660219912	0.0822413847132299	0.0699002796672524	0.212013718689347	0.478511048285585
PFKP	PFKP	4369.05325042644	-1.53163042118402	0.0672221886720143	7.27776224845346e-116	1.58511576971908e-113	4369.05325042644	0.00284027619784747	0.0615310376603937	0.961402718992906	0.986902115929564
SAMD11	SAMD11	391.821822756212	4.28761147047938	0.188876091385225	3.53467554387646e-115	7.59863432179052e-113	391.821822756212	-1.46332225909704	0.314184791633045	2.35738606671408e-07	6.39738347278923e-06
SEMA3C	SEMA3C	1644.31383309143	2.09502050592776	0.0923013715837005	4.4319765556741e-115	9.40544973411197e-113	1644.31383309143	0.986072903418951	0.0951826117984724	2.83024644247286e-26	4.36034842543475e-24
NCAPH	NCAPH	960.888983857378	-2.64149999600746	0.117454736273343	4.56438086212102e-113	9.563822330467e-111	960.888983857378	0.0437291640594129	0.0882885997026099	0.5863637875884	0.805507388222626
