geneNames	baseMean.cobi	log2FoldChange.cobi	padj.cobi	baseMean.tnf	log2FoldChange.tnf	padj.tnf	bubbleSize
IER3	7074.36672801132	-3.56992610767783	0	7074.36672801132	0.393703660654774	9.67958797092662e-07	3
DUSP4	1685.03015618561	-4.37450567319115	2.31150699830273e-278	1685.03015618561	-0.618982742329733	2.96590233316815e-11	1
RRM2	4972.69032269168	-2.8785059238744	2.03787922634133e-270	4972.69032269168	-0.0478942284611086	0.728919361743578	1
H1-0	10543.8200464255	-2.0484065703454	3.51073728514474e-257	10543.8200464255	-0.628394952955149	8.10301512590837e-26	1
ARID5B	1079.6578621014	3.75268479118486	1.75009167311756e-256	1079.6578621014	-1.02638693791006	5.49392681734269e-11	1
ABCC2	2775.72028575233	2.54215636928711	2.8773250424624e-241	2775.72028575233	-0.981763403632331	4.44939088916438e-28	1
EPHA2	2692.19965385386	-3.57277673638424	8.57255438629928e-238	2692.19965385386	0.670833711450865	1.29856269090938e-13	1
MTHFD2	6517.41825313725	-2.09924839747045	2.15298665880561e-237	6517.41825313725	0.181221113680681	0.0117618027645688	1
ALDH1A3	6704.92140660497	1.95934038573809	9.21518111219363e-234	6704.92140660497	0.00411947791832225	0.979335530465065	1
TUBA1B	16099.6158952972	-1.87107208773441	3.97798721010635e-229	16099.6158952972	0.0672894409524935	0.469790784047161	1
MKI67	9023.29053510655	-1.96855791879825	8.43601239795294e-221	9023.29053510655	0.141597826313931	0.065685926260622	1
ID3	2434.29830553665	2.71711924305715	6.83030242869614e-214	2434.29830553665	-1.28402820459426	3.97172530803795e-35	1
MCM7	4277.94564697904	-2.03774542988036	1.12608905937302e-209	4277.94564697904	-0.00292136915341595	0.984678564026888	1
STC2	1973.79837043104	-3.40020082732672	5.65422432440526e-200	1973.79837043104	0.67970740535461	6.48603254537454e-14	1
DUSP6	989.649591494408	-5.38269813253774	5.00217030980728e-194	989.649591494408	-1.09607295779784	2.70466530511541e-25	1
VCAN	1736.21282370043	-2.88924157051283	7.10810563183145e-194	1736.21282370043	0.154270655260712	0.133583507703786	1
NT5E	1686.28603523461	-3.01433486054545	1.66702220152963e-190	1686.28603523461	0.280398964212344	0.00241976802240342	1
ATAD2	3468.89464500968	-2.30987943500293	3.6700979849154e-189	3468.89464500968	0.25758703638417	0.00164563308378464	1
ANLN	3305.61122273781	-2.52232050767615	8.41773293301547e-187	3305.61122273781	0.250173334167914	0.00604194777796625	1
HMGA1	25598.6493566001	-1.6445007314327	8.02672482550222e-183	25598.6493566001	0.572129240037016	3.54998322724218e-23	1
NCAPG	2115.68270546695	-2.49369079093643	1.33695909813451e-181	2115.68270546695	0.198370563620686	0.0281389514825757	1
KIF2C	1741.42076664	-2.6547605838954	8.57934915841484e-181	1741.42076664	-0.0357520605935731	0.816381575730835	1
UBE2S	3908.92891093673	-1.99520456935745	1.45811375715646e-177	3908.92891093673	-0.0841973907247753	0.406866993157893	1
MCM2	2277.98426093592	-2.26879474825723	9.66667657101258e-174	2277.98426093592	-0.179031136219624	0.0468152707211545	1
ETV5	1365.35408991268	-6.22810827721456	2.68531446641207e-169	1365.35408991268	-0.0991772417966761	0.520560146820058	1
DDIT4	7160.78285003067	-2.28915883303626	1.36194518380178e-168	7160.78285003067	0.0534715423664762	0.715825467849641	1
SPRY4	1022.20127435012	-5.54183864385775	2.91447347436663e-168	1022.20127435012	-0.206658481876467	0.0734208548107091	1
UBE2C	1426.94853601825	-2.84359122025554	7.76465942286032e-166	1426.94853601825	0.234559688174712	0.016433238436989	1
CENPF	4763.83190218367	-1.723486808903	1.00732374980112e-162	4763.83190218367	-0.0425844445042571	0.706113444763227	1
PRC1	2229.61979653647	-2.16618388320145	1.95606225825268e-162	2229.61979653647	0.0709159646517515	0.546216054143441	1
ITGA6	2595.56646236373	-2.21730988107576	1.00251516221463e-161	2595.56646236373	0.330825933490671	3.59589859541689e-05	1
EREG	14070.9065789338	-1.53322998264694	1.14755250991546e-160	14070.9065789338	0.233120584337052	0.000222882648671576	1
NTSR1	1967.5587169056	-2.74605779188226	1.92276581160672e-155	1967.5587169056	-0.270983465648587	0.0115670722610365	1
MCM3	2613.69545483823	-2.09292192683282	2.66145893519671e-154	2613.69545483823	-0.0618771755125841	0.616981118172608	1
H2AZ1	5775.14288550325	-1.58525421955925	3.37789897631198e-153	5775.14288550325	-0.0293201902300842	0.793440632134583	1
TPX2	3497.82169823392	-2.05266259569	7.45467595899766e-153	3497.82169823392	0.013736761712502	0.934800809839731	1
BHLHE40	2122.19841398034	-2.72545169440837	5.70975437091081e-152	2122.19841398034	0.150333034294064	0.214283824767486	1
DUSP5	3287.86153559878	-2.58992412700175	1.71945310920847e-151	3287.86153559878	1.99750878625875	3.38044286115363e-137	1
MCM4	3241.96274464313	-2.02899801666447	6.63204595476291e-151	3241.96274464313	-0.0348692990314108	0.805954885931526	1
EGR1	798.733359656118	-5.3690859495582	5.75834520480325e-150	798.733359656118	-1.13942363723708	4.8677809061795e-19	1
ID2	2154.30650087791	2.25971027395457	1.79027249871279e-149	2154.30650087791	-1.73183478977938	5.65223962104913e-61	1
PSAT1	3074.76408303961	-2.71354988376436	6.57103558893233e-147	3074.76408303961	0.0504336247019736	0.771893404282567	1
CCND1	6329.56080950747	-1.59439300058379	7.10296543181871e-144	6329.56080950747	0.689774729184571	2.21143837432338e-30	1
TYMS	2613.08637353012	-1.95596768873613	8.1071955685959e-144	2613.08637353012	-0.0151943712657439	0.914467244237101	1
TUBA1C	6502.03056828434	-1.61973254591535	1.36559977624676e-143	6502.03056828434	0.390094892641819	1.63501095518563e-09	1
SLC7A1	3038.0001624842	-2.58751577179803	2.55841939644752e-143	3038.0001624842	0.186771285503553	0.109396291530179	1
ATF4	6901.91219055967	-1.69127219647169	3.65105897785876e-142	6901.91219055967	0.116610323166447	0.163586523354679	1
PRR11	2887.52131884102	-1.8283967664101	5.73612653736656e-141	2887.52131884102	0.103680905901888	0.286799603977643	1
SOX9	1038.82560923936	-2.85156119217628	1.10049593702042e-140	1038.82560923936	-0.740967378375301	1.62104684635391e-13	1
KPNA2	4688.71255660571	-1.63138258393638	3.55072384034739e-138	4688.71255660571	0.322952403470145	1.4220824010964e-06	1
TUBB	14028.9603782971	-1.47819366655065	8.97758284850885e-138	14028.9603782971	0.0500635058240959	0.629909674030628	1
BIRC5	2052.82064735269	-2.02529300621714	2.49331529099949e-136	2052.82064735269	-0.134476783136218	0.175121345176422	1
CCNB1	2563.62127517315	-1.8553003531902	1.10528930160925e-135	2563.62127517315	-0.0255480577041961	0.859433459906003	1
AHNAK2	2946.3589327316	1.69087825978699	1.17942660619979e-135	2946.3589327316	-0.29861401064677	0.000211081260122815	1
ERRFI1	17779.8832395941	-1.58881662835421	4.16915733091314e-135	17779.8832395941	0.361255727117284	1.18989442401762e-07	1
MYBL2	1349.36039023478	-2.50843858539023	1.4045302373896e-133	1349.36039023478	0.25104650763378	0.0110910074726188	1
TOP2A	3247.97919253621	-1.99998442229795	2.08626163769088e-133	3247.97919253621	0.0381081774393084	0.79812870716228	1
ARHGAP11A	2042.47852892109	-2.16520084134854	5.57273810866588e-131	2042.47852892109	0.221896571745909	0.0187989422664969	1
HMGB2	5623.05901630442	-1.70062583794615	1.06457902522073e-130	5623.05901630442	0.112256823630158	0.229475587715493	1
FANCI	1452.45937868532	-2.31307170134975	2.52834504233493e-130	1452.45937868532	0.127913742661914	0.251634460067868	1
CDK1	2333.84031425648	-2.54642338649696	3.29668070802538e-129	2333.84031425648	0.301154292048657	0.00559901356916797	1
TRIOBP	1488.06134026168	-2.54585810961442	5.00408220943865e-129	1488.06134026168	-0.95847763554897	8.37132010264553e-22	1
SMC4	2987.42364455474	-1.82368161683003	9.50581957826846e-128	2987.42364455474	0.168589169998252	0.0552659738013075	1
KIF23	1383.57122524791	-2.31075473675274	3.44247816829096e-124	1383.57122524791	0.172872965407606	0.0990147400653071	1
MYEOV	1139.01190501064	-5.86941669963754	1.85491570207762e-121	1139.01190501064	0.692113414793544	1.31387265485074e-09	1
BUB1	2076.94671290999	-2.02075017121068	6.39872491624558e-121	2076.94671290999	0.252836383529153	0.00481441430021962	1
ALDH3B1	846.322445030247	2.48695683453573	1.22716100662772e-120	846.322445030247	-0.916529367438121	1.24935851156627e-11	1
AC068831.8	2521.4286860223	-1.73978831358725	2.44254786330225e-120	2521.4286860223	0.0799514764947348	0.520533681985732	1
CDC20	2889.63995073997	-1.7740606460202	1.19442054457701e-119	2889.63995073997	0.0893039022861208	0.410939045815784	1
NCAPG2	1656.57781535194	-2.04465652265638	3.27993548289086e-119	1656.57781535194	0.193623689557281	0.0411121940602525	1
MCM5	1698.9976962135	-2.03669505539472	4.63406171579494e-116	1698.9976962135	-0.133069226356678	0.229985166237551	1
PLK1	1649.06023357184	-2.15745976275663	3.57954201870398e-115	1649.06023357184	-0.0248439223824842	0.888001149247843	1
KIFC1	1079.68953411002	-2.46032558378373	2.17799041680711e-114	1079.68953411002	-0.0769856179896268	0.598195805328917	1
UBALD2	969.632384526408	-2.65949511878202	2.81065123751308e-114	969.632384526408	-0.00237390983340203	0.990905528085291	1
RRM1	1997.95660219912	-1.83780958342247	1.29287037475716e-113	1997.95660219912	0.0822413847132299	0.478511048285585	1
PFKP	4369.05325042644	-1.53163042118402	1.58511576971908e-113	4369.05325042644	0.00284027619784747	0.986902115929564	1
SAMD11	391.821822756212	4.28761147047938	7.59863432179052e-113	391.821822756212	-1.46332225909704	6.39738347278923e-06	1
SEMA3C	1644.31383309143	2.09502050592776	9.40544973411197e-113	1644.31383309143	0.986072903418951	4.36034842543475e-24	1
NCAPH	960.888983857378	-2.64149999600746	9.563822330467e-111	960.888983857378	0.0437291640594129	0.805507388222626	1
CCNA2	1552.19017792073	-2.44006243564559	1.68851011123e-110	1552.19017792073	0.166958854784359	0.183249690546907	1
DEPDC1	1384.90547864801	-2.36624853702376	9.94393058525669e-110	1384.90547864801	0.107161604189073	0.42634546408196	1
DNMT1	2808.09409796814	-1.6657807709579	3.90111000451591e-109	2808.09409796814	-0.0201862249922978	0.895046960871965	1
CDC6	974.281331547283	-2.62517942584628	4.25745749090093e-109	974.281331547283	-0.00203769333465488	0.991484876683752	1
NCAPD2	5205.87087609729	-1.3286865295224	5.53076994150468e-109	5205.87087609729	-0.141022302901167	0.058329407311993	1
LIF	916.961501076662	-3.33190081610675	1.25040669094368e-106	916.961501076662	0.422188927963916	0.000952992591664009	1
RACGAP1	2021.12091638998	-1.83074037662358	4.76043263343523e-104	2021.12091638998	-0.0382412697738209	0.799020979662176	1
CDT1	1061.0908876478	-2.50366600387054	8.10588655810338e-104	1061.0908876478	-0.121122242259369	0.384030998304582	1
HJURP	889.848932491026	-2.81127648656722	1.65906796726666e-102	889.848932491026	0.115099169606009	0.442231797328681	1
CDCP1	4792.96105363703	-1.59635339417248	1.88880152289578e-102	4792.96105363703	0.354545956423163	6.04469037609232e-06	1
NSD2	3098.16788516057	-1.48788745043535	2.86959821570211e-102	3098.16788516057	0.144288207316807	0.0871065754560349	1
CLU	1639.50242712394	1.79984982432145	6.99955202063238e-102	1639.50242712394	-0.772280265686366	1.2599311638085e-15	1
FOSL1	1108.76540977976	-3.55048422915867	1.0063586587498e-100	1108.76540977976	1.79953503925481	2.28913170822263e-71	1
KNL1	1270.41437648789	-2.19769699292254	3.03295713646122e-100	1270.41437648789	0.261840656259	0.0115644579653144	1
RFC5	994.382248880276	-2.35189590455539	6.09451539581937e-100	994.382248880276	-0.108368584327188	0.431332427549396	1
TCOF1	1638.89068277605	-1.83633601167141	8.18982561855846e-99	1638.89068277605	0.159541136256794	0.110293453133878	1
ITGB8	370.770159030395	4.026613659716	3.45122866727671e-98	370.770159030395	0.39960243495292	0.0668250913234171	1
ESPL1	1160.72832826198	-2.23006440203866	2.61432973976162e-97	1160.72832826198	0.102964256498092	0.451915029510661	1
YARS1	2757.68915980297	-2.20978169388073	2.61839411941069e-97	2757.68915980297	0.169113587882937	0.181851896153504	1
HMMR	1698.72193744247	-2.08906870371596	1.02204866121951e-96	1698.72193744247	0.00408082202704562	0.986441465073221	1
TSC22D1	3671.26327045141	-1.36086255084184	2.70405504938241e-96	3671.26327045141	-0.695488487342847	1.15772135446464e-26	1
BMF	302.391995433556	4.5642925622964	2.94594473497963e-96	302.391995433556	0.0785708566256698	0.725911175748785	1
TP53INP1	731.721411283058	2.36466094799017	4.68139080987418e-95	731.721411283058	-0.375023311107865	0.00944682532271317	1
KIF22	1361.80843764922	-1.93669132313419	1.03205615266088e-94	1361.80843764922	-0.107290609447621	0.380676698257118	1
BUB1B	1464.48085763537	-2.10999740311595	5.83269245138405e-94	1464.48085763537	0.236556602441879	0.0282480867907956	1
SLC20A1	1666.85808446421	-1.96953608617079	7.35782909191658e-94	1666.85808446421	-0.959180334276393	1.44582575992125e-24	1
NCAPD3	1382.6920516815	-2.11134756690408	3.84326523563579e-93	1382.6920516815	0.00686915210609124	0.977311539972952	1
BRCA1	881.704925576706	-2.37666316670524	5.99511154983985e-93	881.704925576706	0.104073187298433	0.462023620653033	1
SSH1	1652.62658529703	-1.86911741093399	2.72272047382479e-92	1652.62658529703	-0.0216421044573297	0.904625543957268	1
KIF20A	1303.606237908	-1.99356917744274	2.03929949153782e-91	1303.606237908	-0.133008227612256	0.264248389183073	1
KNTC1	1099.65586189979	-2.20189613998024	2.05407547481808e-91	1099.65586189979	0.065838400148949	0.673562567564512	1
SLC38A2	18317.159518254	-1.0716561100712	2.39472950324527e-91	18317.159518254	0.187469070739127	0.00212352739840863	1
ANGPTL4	666.389060665812	-3.47165238125793	3.03091562950622e-91	666.389060665812	0.0371474100706576	0.87273041063944	1
RNF213	2877.67119723956	1.52404578778497	8.60733705841168e-91	2877.67119723956	0.554038111871494	5.34810295302429e-12	1
IFIT1	440.14275609747	3.34071059967179	4.34383911460709e-90	440.14275609747	-1.42658815824547	4.67891783242871e-09	1
RANBP1	2394.11187227276	-1.47717086743393	5.06198113092886e-90	2394.11187227276	0.0288564801844595	0.84066807453834	1
