Cobi_24_1_S54	Cobi_24_2_S55	TNF_24_1_S58	TNF_24_2_S59	UT_24_1_S52	UT_24_2_S53
DDX11L1	0	1.05141700160149	0	0	0	0
WASH7P	110.16700295507	91.4732791393293	92.6310556894182	102.858446370741	163.060774196617	107.721706075302
MIR6859-1	15.8894715800581	33.6453440512475	17.8946357581831	24.64316944299	22.6473297495301	26.7216635225554
MIR1302-2HG	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	1.05929810533721	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
AL627309.1	3.17789431601163	4.20566800640594	2.1052512656686	1.07144214969522	0.905893189981203	1.67010397015971
AL627309.3	2.11859621067442	0	1.0526256328343	0	0.905893189981203	0.835051985079857
CICP27	0	0	0	0	0	0
AL627309.6	18.0080677907326	7.3599190112104	22.1051382895203	19.2859586945139	16.3060774196617	14.1958837463576
AL627309.7	21.1859621067442	23.1311740352327	28.420892086526	37.5004752393326	38.0475139792105	21.7113516120763
AL627309.2	4.23719242134884	4.20566800640594	2.1052512656686	4.28576859878086	1.81178637996241	3.34020794031943
AL627309.5	1.05929810533721	6.30850200960892	4.21050253133719	8.57153719756173	9.96482508979324	5.01031191047914
RNU6-1100P	1.05929810533721	0	3.15787689850289	1.07144214969522	1.81178637996241	1.67010397015971
AL627309.4	0	0	0	0	0	0
FO538757.1	0	5.25708500800743	0	1.07144214969522	0.905893189981203	3.34020794031943
WASH9P	144.06454232586	107.244534163352	135.788706635624	122.144405065255	105.989503227801	118.57738188134
MIR6859-2	3.17789431601163	4.20566800640594	1.0526256328343	3.21432644908565	3.62357275992481	2.50515595523957
AP006222.1	3.17789431601163	1.05141700160149	2.1052512656686	6.4286528981713	0.905893189981203	2.50515595523957
AP006222.2	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0.905893189981203	0
AL732372.1	0	0	0	0	0	0
AL732372.2	33.8975393707907	34.696761052849	42.1050253133719	46.0720124368943	30.8003684593609	40.0824952838331
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
AL732372.3	3.17789431601163	0	2.1052512656686	1.07144214969522	1.81178637996241	0
FO681485.1	0	0	0	0	0	0
AL669831.3	20.126664001407	11.5655870176163	10.526256328343	19.2859586945139	23.5532229395113	19.2061956568367
AC114498.1	0	1.05141700160149	0	0	0	0
MTND1P23	5.29649052668604	4.20566800640594	9.47363069550868	3.21432644908565	1.81178637996241	1.67010397015971
MTND2P28	2042.32674709014	1936.71011694994	1308.41366161303	1449.66122853763	1256.47385450393	1142.35111558924
MTCO1P12	835.786205111058	978.869228490983	415.787124969548	579.650202985112	464.723206460357	393.309484972613
AC114498.2	0	0	0	0	0	0
MTCO2P12	8.47438484269767	13.6684210208193	6.31575379700579	2.14288429939043	5.43535913988722	2.50515595523957
MTATP8P1	7.41508673736046	8.41133601281189	4.21050253133719	7.50009504786651	2.71767956994361	5.01031191047914
MTATP6P1	15332.2807766508	15530.4805306555	10439.9410264506	10977.9962657772	8780.8226904878	8390.6023460824
MTCO3P12	48.7277128455116	42.0566800640594	24.2103895551889	28.9289380417708	20.8355433695677	11.690727791118
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
AL669831.1	108.048406744395	93.5761131425323	105.26256328343	106.072772819826	129.542726167312	93.525822328944
RNU6-1199P	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0
LINC01409	8.47438484269767	5.25708500800743	9.47363069550868	12.8573057963426	12.6825046597368	10.0206238209583
AL669831.6	1.05929810533721	1.05141700160149	0	2.14288429939043	0	0
AL669831.4	13.7708753693837	5.25708500800743	7.36837942984008	1.07144214969522	9.96482508979324	7.51546786571871
FAM87B	0	0	0	0	0	0
LINC01128	175.843485485977	180.843724275456	318.945566748792	227.145735735386	215.602579215526	190.391852598207
LINC00115	11.6522791587093	4.20566800640594	11.5788819611773	10.7144214969522	8.15303870983083	7.51546786571871
AL669831.7	0	0	0	0	0	0.835051985079857
FAM41C	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	0
AL645608.6	16.9487696853953	7.3599190112104	0	1.07144214969522	2.71767956994361	1.67010397015971
AL645608.2	62.4985882148953	67.2906881024951	12.6315075940116	5.35721074847608	11.7766114697556	6.68041588063886
AL645608.4	14.8301734747209	13.6684210208193	3.15787689850289	3.21432644908565	6.34125232986842	2.50515595523957
LINC02593	342.153288023918	310.168015472438	3.15787689850289	2.14288429939043	28.0826888894173	16.7010397015971
SAMD11	1153.57563671222	1048.26275059668	22.1051382895203	15.000190095733	65.2243096786466	46.762911164472
NOC2L	2902.47680862395	2855.64857634964	4499.97458036662	4479.6996278757	4454.27681513758	4156.88878172753
KLHL17	708.670432470593	628.747366957689	341.050705038312	370.718983794545	355.110130472632	352.3919377037
PLEKHN1	157.835417695244	168.226720256238	115.788819611773	151.073343107025	88.7775326181579	79.3299385825864
PERM1	2.11859621067442	6.30850200960892	1.0526256328343	0	2.71767956994361	0.835051985079857
AL645608.7	26.4824526334302	25.2340080384357	30.5261433521946	23.5717272932948	26.2709025094549	28.3917674927151
HES4	246.81645854357	216.591902329906	468.418406611263	517.506558302789	422.146226531241	406.67031673389
ISG15	1070.95038449592	1121.86194070879	501.049801229126	513.220789704008	451.134808610639	440.072396137085
AL645608.3	0	0	0	0	0	0
AL645608.1	0	1.05141700160149	2.1052512656686	0	1.81178637996241	0
AGRN	2259.48285868427	2219.54129038074	1630.51710526033	1691.80715436875	1321.69816418258	1273.45427724678
AL645608.5	299.78136381043	283.882590432401	205.261998402688	236.788715082643	170.307919716466	177.03102083693
AL390719.1	126.056474535128	118.810121180968	210.52512656686	201.431124142701	175.743278856353	156.154721209933
AL645608.8	0	1.05141700160149	5.26312816417149	16.0716322454282	9.05893189981203	5.01031191047914
RNF223	47.6684147401744	44.1595140672624	96.8415582207554	96.4297934725694	69.7537756285527	57.6185869705101
C1orf159	90.0403389536628	85.1647771297204	151.578091128139	169.287859651844	171.213812906447	141.123785478496
AL390719.3	0	0	0	0	0	0
LINC01342	0	0	0	0	0	0
MIR200B	1.05929810533721	0	1.0526256328343	1.07144214969522	0	0
MIR200A	1.05929810533721	2.10283400320297	1.0526256328343	1.07144214969522	0.905893189981203	0.835051985079857
MIR429	6.35578863202325	3.15425100480446	1.0526256328343	1.07144214969522	3.62357275992481	2.50515595523957
AL390719.2	34.9568374761279	19.9769230304282	24.2103895551889	33.2147066405517	20.8355433695677	18.3711436717569
TTLL10-AS1	0	0	0	0	0	0
TTLL10	5.29649052668604	3.15425100480446	2.1052512656686	1.07144214969522	1.81178637996241	0
TNFRSF18	299.78136381043	246.031578374748	248.419649348894	245.360252280204	268.144384234436	285.587778897311
TNFRSF4	1.05929810533721	1.05141700160149	0	1.07144214969522	0	0.835051985079857
SDF4	2033.85236224744	2092.31983318696	1836.83172929585	1854.66636112242	1920.49356276015	1771.98031233946
B3GALT6	223.511900226151	221.848987337914	141.051834799796	131.787384412512	190.237569896053	163.670189075652
C1QTNF12	8.47438484269767	5.25708500800743	6.31575379700579	10.7144214969522	5.43535913988722	8.35051985079857
AL162741.1	5.29649052668604	2.10283400320297	3.15787689850289	2.14288429939043	2.71767956994361	0.835051985079857
UBE2J2	424.778540240221	453.16072769024	572.628344261858	560.364244290598	512.735545529361	515.227074794272
LINC01786	8.47438484269767	6.30850200960892	8.42100506267438	1.07144214969522	6.34125232986842	4.17525992539928
SCNN1D	79.4473579002907	46.2623480704654	13.6841332268459	21.4288429939043	28.9885820793985	35.072183373354
ACAP3	296.603469494419	289.139675440409	192.630490808676	237.860157232338	299.850645883778	245.505283613478
MIR6726	0	0	0	0	0	0
PUSL1	145.123840431198	150.352631229013	288.419423396598	295.71803331588	278.109209324229	240.494971702999
INTS11	812.481646793639	829.568014263572	1046.30987903729	978.226682671732	1116.96630324682	1016.25826584219
MIR6727	2.11859621067442	3.15425100480446	5.26312816417149	3.21432644908565	2.71767956994361	1.67010397015971
AL139287.1	45.5498185295	24.1825910368342	28.420892086526	36.4290330896373	34.4239412192857	40.0824952838331
CPTP	183.258572223337	197.666396301079	155.788593659476	146.787574508245	171.213812906447	147.804201359135
TAS1R3	1.05929810533721	2.10283400320297	0	0	0	0
DVL1	1271.15772640465	1127.11902571679	1921.04177992259	1991.81095628341	2125.2254236959	1948.17628119131
MIR6808	6.35578863202325	7.3599190112104	2.1052512656686	2.14288429939043	1.81178637996241	5.845363895559
MXRA8	1.05929810533721	6.30850200960892	2.1052512656686	2.14288429939043	2.71767956994361	0.835051985079857
AURKAIP1	692.780960890535	722.323480100221	938.942064488194	889.296984247029	1058.98913908803	966.155146737395
