Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Alu	217.189100877075	239.537840512544	236.900833245918	214.711260238399
AluJb	19269.915743335	19174.1169558421	19396.4926228428	19009.8662087301
AluJo	11796.684858476	11318.1629642177	11685.8443023547	11533.6905243635
AluJr4	2821.31851730467	2791.28122486145	2918.61826558971	2852.84387579053
AluJr	12756.38251112	12508.0893663935	13126.2013684898	13891.9945302607
AluSc5	879.455373994857	808.440211729837	958.974572979477	993.479560693248
AluSc8	2616.96818101146	2650.44184641195	2900.61380226302	2793.8862756431
AluSc	4001.41496197173	3921.32316690906	4132.4981351418	4263.42645842231
AluSg4	983.235387714445	933.753989405381	1025.30680628833	1004.91909505021
AluSg7	1095.57457782328	1101.20868346739	1201.5610262233	1109.6348326255
AluSg	5139.78542174123	5253.19791901816	5668.56313790833	5665.20939924104
AluSp	7666.88225066563	7769.45421588373	8244.14899695795	9071.55074507236
AluSq10	202.210542195898	184.089266319826	203.73471659149	224.390866232753
AluSq2	8546.33762466048	8434.83710619635	8824.08223674396	9200.90547972418
AluSq4	237.517144801531	211.813553416185	288.071413227037	232.310543864497
AluSq	2833.08738483988	2820.11448344167	2895.8757855981	2912.68144011927
AluSx1	16233.5479192506	16249.7591529181	16770.683787145	17913.4308388241
AluSx3	4129.8026078104	9786.67334501483	4194.09235178574	4261.6665300597
AluSx4	1262.47851741354	1324.11195172212	1473.52318278961	1408.82265426917
AluSx	15235.3339728549	15063.1596651939	15533.1138342684	16330.3752766566
AluSz6	6721.09325965413	6715.93130622208	6819.90118748349	7033.55370117018
AluSz	14512.0835679638	14285.770655012	14910.5384444981	15795.3570544232
AluY	11664.0176244427	11717.3926984053	12842.8679719277	12462.0527356402
AluYa5	216.11920382842	222.903268254729	253.957693239624	227.910722957973
AluYa8	22.4678380217664	15.5256007739612	17.0568599937061	16.7193194447934
AluYb8	160.484557298332	167.45469406201	186.677856597784	199.751869156216
AluYb9	20.3280439244553	17.7435437416699	10.4236366628204	1154.51300587205
AluYc3	81.3121756978213	74.3010894182429	105.183969961188	65.1173494165637
AluYc	316.689526402041	368.178532639651	395.150589854192	429.422520476798
AluYd8	21.3979409731109	19.9614867093787	8.52842999685305	15.8393552634885
AluYe5	113.409087157488	125.313777675544	119.398019955943	124.074949563993
AluYe6	19.2581468757998	18.8525152255243	17.0568599937061	19.3592119887081
AluYf1	167.97383663892	211.813553416185	185.7302532648	183.032549711422
AluYg6	37.446396702944	49.9037167734467	37.9041333193469	54.5577792409047
AluYh3	263.194673969264	242.864754964107	239.743643244869	197.111976612301
AluYh3a3	51.3550583354661	54.3396027088642	52.118183314102	65.9973135978686
AluYh7	5.34948524327772	11.0897148385437	6.63322333088571	8.79964181304914
AluYh9	9.62907343789989	5.54485741927186	11.3712399958041	6.1597492691344
AluYi6	34.2367055569774	34.3781159994855	46.4325633162	52.7978508782949
AluYi6_4d	9.62907343789989	15.5256007739612	7.58082666386938	8.79964181304914
AluYj4	249.286012336742	249.518583867234	262.486123236477	242.870114040156
AluYk11	63.1239258706771	76.5190323859516	70.1226466407918	67.7572419604784
AluYk12	13.9086616325221	18.8525152255243	11.3712399958041	9.67960599435406
AluYk2	66.3336170166437	69.8652034828254	84.3366966355469	87.9964181304914
AluYk3	118.758572400765	114.224062837	131.716863284731	130.234698833127
AluYk4	101.640219622277	103.134347998457	104.236366628204	121.435057020078
AluYm1	439.727686997428	464.659051734982	497.491749816428	439.102126471152
AmnSINE1	173.323321882198	165.236751094301	162.987773273192	143.434161552701
Arthur1	85.5917638924435	89.8266901922041	87.1795066344979	85.3565255865767
Arthur1A	69.5433081626103	47.685773805738	49.275373315151	67.7572419604784
Arthur1B	121.968263546732	106.46126245002	97.6031432973183	107.3556301192
Arthur1C	22.4678380217664	35.4870874833399	29.3757033224939	24.6389970765376
BLACKJACK	102.710116670932	92.0446331599129	106.131573294171	119.675128657468
CR1-12_AMi	6.41938229193326	5.54485741927186	4.73801666491836	7.03971345043932
CR1-13_AMi	1.06989704865554	1.10897148385437	0.947603332983673	5.27978508782949
CR1-16_AMi	19.2581468757998	15.5256007739612	18.0044633266898	24.6389970765376
CR1-3_Croc	80.2422786491658	76.5190323859516	90.9699199664326	91.5162748557111
CR1-L3A_Croc	14.9785586811776	11.0897148385437	18.9520666596735	26.3989254391474
CR1_Mam	587.373479711894	623.241973926157	399.88860651911	417.982986119834
Chap1_Mam	113.409087157488	123.095834707835	110.86958995909	113.515379388334
Charlie10	111.269293060177	118.659948772418	134.559673283682	174.232907898373
Charlie10a	18.1882498271442	16.6345722578156	21.7948766586245	21.9991045326229
Charlie10b	34.2367055569774	26.6153156125049	26.5328933235428	36.0785314335015
Charlie11	10.6989704865554	11.0897148385437	5.68561999790204	6.1597492691344
Charlie12	3.20969114596663	0	0.947603332983673	0
Charlie13a	63.1239258706771	47.685773805738	54.0133899800693	65.1173494165637
Charlie13b	47.0754701408439	55.4485741927186	58.7514066449877	58.0776359661244
Charlie14a	18.1882498271442	12.1986863223981	26.5328933235428	25.5189612578425
Charlie15a	415.120054878351	424.736078316224	414.102656513865	439.102126471152
Charlie15b	179.742704174131	158.582922191175	148.773723278437	202.39176170013
Charlie16a	170.113630736231	171.890579997428	140.245293281584	186.552406436642
Charlie17	359.485408348263	375.941333026632	336.399183209204	489.260084805532
Charlie17a	106.989704865554	99.8074335468935	111.817193292073	98.5559883061504
Charlie17b	24.6076321190775	22.1794296770874	26.5328933235428	18.4792478074032
Charlie18a	327.388496888596	304.967158059952	228.372403249065	286.868323105402
Charlie19a	184.022292368754	144.166292901068	162.040169940208	162.793373541409
Charlie1	392.652216856585	337.127331091729	313.656703217596	370.464920329369
Charlie1a	1136.23066567219	1106.75354088666	1003.51192962971	1111.39476098811
Charlie1b	278.173232650441	272.806985028175	293.757033224939	298.307857462366
Charlie20a	111.269293060177	125.313777675544	118.450416622959	109.115558481809
Charlie21a	100.570322573621	105.352290966165	72.0178533067591	80.0767404987472
Charlie22a	158.34476320102	165.236751094301	133.612069950698	141.674233190091
Charlie23a	100.570322573621	117.550977288563	102.341159962237	117.035236113554
Charlie24	160.484557298332	123.095834707835	161.092566607224	172.472979535763
Charlie25	78.1024845518547	59.8844601281361	72.9654566397428	88.8763823117964
Charlie26a	41.7259848975662	29.942230064068	36.9565299863632	37.8384597961113
Charlie29a	173.323321882198	133.076578062525	162.040169940208	135.514483920957
Charlie2a	210.769718585142	195.178981158369	150.668929944404	185.672442255337
Charlie2b	386.232834564651	355.979846317253	325.0279432134	368.704991966759
Charlie30a	42.7958819462217	47.685773805738	51.1705799811183	46.6381016091605
Charlie3	40.6560878489107	48.7947452895924	67.2798366418408	55.4377434222096
Charlie4	22.4678380217664	31.0512015479224	18.9520666596735	17.5992836260983
Charlie4a	373.394069980785	348.217045930273	343.03240654009	337.026281439782
Charlie4z	838.799286145946	876.087472244954	744.816219725167	870.28457531056
Charlie5	231.097762509597	229.557097157855	210.367939922375	225.270830414058
Charlie6	20.3280439244553	27.7242870963593	18.0044633266898	22.8790687139278
Charlie7	317.759423450696	280.569785415156	238.796039911886	255.189612578425
