TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Alu	186.978718020049	183.768856359603	171.363712081641	178.188337301026
AluJb	12265.3740659818	12370.5456465227	12319.3462334713	12135.2981790198
AluJo	7308.28885778364	7267.33286564192	7382.99469486818	7268.73934424184
AluJr4	1793.49126652564	1695.02589879054	1673.26347137309	1690.26767128473
AluJr	8548.36610258328	8904.32649400311	8365.4201646556	8585.82012042442
AluSc5	569.532876727736	654.072047964112	512.296751825219	561.461364703232
AluSc8	1730.09043685218	1662.38274667404	2108.40169315108	2169.35895553749
AluSc	2689.69960462174	2623.54222566012	2522.90449410248	2627.43746416512
AluSg4	611.441899732229	645.609008526499	632.520507945324	642.990934128701
AluSg7	863.97062809264	817.287808546654	798.501066767855	774.110654029455
AluSg	4490.71300348152	4226.68369627086	3740.394322871	4412.6828812754
AluSp	5630.85334727044	5540.87282036881	5365.20941491211	5361.61982850586
AluSq10	130.025430347275	118.482552126586	127.401293798916	135.322275025779
AluSq2	6146.65670732575	5928.96362886507	6378.13941983447	6194.56625428565
AluSq4	149.36805634935	152.334709877039	174.952480921047	121.033587600697
AluSq	1639.8248488425	1618.85854385203	1529.71271779685	1566.71255060902
AluSx1	10556.7754357986	10997.1152463615	10484.5881643249	11673.0171152672
AluSx3	4138.2473741104	3076.9193383894	2662.86647883932	2893.87945909166
AluSx4	911.252602764377	846.303943761328	888.220287753007	860.683289604954
AluSx	10304.2467074382	10467.5707786937	10102.3842829281	10495.4611692354
AluSz6	4267.19821412422	4195.2495497883	3996.99129488853	4099.17226894859
AluSz	9053.4235593041	9443.54300674247	9100.22058452399	9491.05049435463
AluY	9711.07284337462	9461.67809125164	9183.65946004019	8948.92088322651
AluYa5	231.03692169144	270.817262003625	205.457016055999	251.312796476446
AluYa8	10.7459033344856	8.46303943761328	12.5606909379213	12.6076653750726
AluYb8	620.038622399818	730.239402902631	542.801286960171	466.483618877685
AluYb9	17.1934453351769	7.25403380366852	11.6634987280698	495.060993727849
AluYc3	38.6852520041481	51.9872422596244	46.6539949122792	31.9394189501838
AluYc	356.763990704921	285.325329610962	287.101507152487	281.571193376621
AluYd8	12.8950840013827	9.67204507155803	8.97192209851523	11.7671543500677
AluYe5	98.8623106772673	90.6754225458565	90.6164131950038	102.54234505059
AluYe6	24.7155776693168	19.3440901431161	17.0466519871789	13.4481764000774
AluYf1	124.652478680033	149.916698609149	178.541249760453	150.451473475866
AluYg6	37.6106616706995	54.4052535275139	33.1961117645063	36.9824851002129
AluYh3	131.100020680724	141.453659171536	171.363712081641	131.119719900755
AluYh3a3	58.0278780062221	70.1223267687957	42.1680338630216	52.1116835502999
AluYh7	3.22377100034567	7.25403380366852	7.17753767881218	4.20255512502419
AluYh9	1.07459033344856	0	1.79438441970305	1.68102205000968
AluYi6	65.550010340362	60.4502816972377	68.1866079487157	71.4434371254112
AluYi6_4d	13.9696743348313	13.2990619733923	18.841036406882	12.6076653750726
AluYj4	916.62555443162	217.621014110056	211.737361524959	830.42489270478
AluYk11	55.878697339325	61.6592873311824	44.8596104925761	52.1116835502999
AluYk12	7.5221323341399	12.0900563394475	11.6634987280698	8.40511025004838
AluYk2	40.8344326710452	49.5692309917349	41.27084165317	39.5040181752274
AluYk3	87.0418170093332	73.74934367063	92.4107976147068	87.4131466005031
AluYk4	103.160672011062	72.5403380366852	68.1866079487157	79.8485473754596
AluYm1	394.374652375621	378.418763424708	331.961117645063	296.700391826708
AmnSINE1	87.0418170093332	101.556473251359	94.2051820344099	101.701834025585
Arthur1	34.3868906703538	47.1512197238454	46.6539949122792	52.9521945753048
Arthur1A	23.6409873358683	30.2251408486188	26.0185740856942	32.7799299751887
Arthur1B	76.2959136748476	70.1223267687957	70.8781845782703	84.8916135254886
Arthur1C	12.8950840013827	41.1061915541216	22.4298052462881	15.9697094750919
BLACKJACK	54.8041070058764	70.1223267687957	58.317493640349	54.6332166253144
CR1-12_AMi	3.22377100034567	1.20900563394475	4.48596104925761	3.36204410001935
CR1-13_AMi	3.22377100034567	7.25403380366852	2.69157662955457	0.840511025004838
CR1-16_AMi	10.7459033344856	15.7170732412818	7.17753767881218	15.1291984500871
CR1-3_Croc	33.3123003369053	37.4791746522874	42.1680338630216	31.9394189501838
CR1-L3A_Croc	5.37295166724279	13.2990619733923	12.5606909379213	19.3317535751113
CR1_Mam	110.682804345201	118.482552126586	109.457449601886	136.162786050784
Chap1_Mam	68.7737813407077	78.585366206409	72.6725689979733	65.5598599503773
Charlie10	102.086081677613	88.257411277967	75.3641456275279	80.6890584004644
Charlie10a	16.1188550017284	12.0900563394475	13.4578831477728	14.2886874250822
Charlie10b	13.9696743348313	15.7170732412818	13.4578831477728	15.9697094750919
Charlie11	3.22377100034567	2.41801126788951	2.69157662955457	2.52153307501451
Charlie12	48.3565650051851	59.2412760632929	40.3736494433185	41.185040225237
Charlie13a	30.0885293365596	19.3440901431161	29.6073429251002	31.9394189501838
Charlie13b	30.0885293365596	27.8071295807293	28.7101507152487	37.8229961252177
Charlie14a	10.7459033344856	7.25403380366852	9.86911430836675	7.56459922504354
Charlie15a	196.650031021086	210.366980306387	213.531745944662	237.024109051364
Charlie15b	109.608214011753	111.228518322917	72.6725689979733	106.744900175614
Charlie16a	116.055756012444	120.900563394475	95.1023742442614	119.352565550687
Charlie17	62.3262393400164	60.4502816972377	93.3079898245583	80.6890584004644
Charlie17a	49.4311553386337	42.3151971880664	43.0652260728731	38.6635071502225
Charlie17b	9.67131300103702	8.46303943761328	8.0747298886637	10.0861323000581
Charlie18a	188.053308353498	195.85891269905	150.728291255056	184.912425501064
Charlie19a	75.221323341399	76.1673549385195	80.747298886637	67.240882000387
Charlie1	145.069695015555	162.006754948597	168.672135452086	200.041623951151
Charlie1a	594.248454397052	592.412760632929	488.072562159228	574.069030078304
Charlie1b	146.144285349004	175.305816921989	177.644057550601	187.433958576079
Charlie20a	35.4614810038024	37.4791746522874	31.4017273448033	40.3445292002322
Charlie21a	32.2377100034567	13.2990619733923	19.7382286167335	24.3748197251403
Charlie22a	46.207384338288	70.1223267687957	57.4203014304974	61.3573048253531
Charlie23a	45.1327940048394	67.7043155009062	38.5792650236155	50.4306615002903
Charlie24	91.3401783431274	89.4664169119118	83.4388755161916	80.6890584004644
Charlie25	46.207384338288	42.3151971880664	38.5792650236155	48.7496394502806
Charlie26a	11.8204936679341	10.8810507055028	12.5606909379213	10.0861323000581
Charlie29a	61.2516490065678	56.8232647954034	74.4669534176764	54.6332166253144
Charlie2a	113.906575345547	95.5114450816355	108.560257392034	124.395631700716
Charlie2b	169.785272684872	139.035647903647	127.401293798916	129.438697850745
Charlie30a	27.9393486696625	13.2990619733923	22.4298052462881	22.6937976751306
Charlie3	21.4918066689712	38.6881802862321	34.0933039743579	26.05584177515
Charlie4	8.59672266758846	12.0900563394475	5.38315325910914	5.88357717503386
Charlie4a	165.486911351078	160.797749314652	145.345137995947	131.119719900755
Charlie4z	436.283675380114	432.824016952222	405.530878852888	463.121574777666
Charlie5	117.130346345893	114.855535224752	106.765872972331	118.512054525682
Charlie6	8.59672266758846	9.67204507155803	0.897192209851523	4.20255512502419
Charlie7	123.577888346584	151.125704243094	116.634987280698	124.395631700716
Charlie7a	64.4754200069135	62.8682929651272	69.9809923684188	68.9219040503967
Charlie8	189.127898686946	198.27692396694	200.971055006741	196.679579851132
Charlie9	60.1770586731192	84.6303943761328	74.4669534176764	51.2711725252951
Cheshire	66.6246006738106	74.9583493045747	89.7192209851523	85.7321245504934
DNA1_Mam	12.8950840013827	9.67204507155803	6.28034546896066	10.0861323000581
ERV24B_Prim-int	16.1188550017284	18.1350845091713	13.4578831477728	24.3748197251403
ERV24_Prim-int	20.4172163355226	10.8810507055028	25.1213818758426	18.4912425501064
ERV3-16A3_I-int	349.241858370781	344.566605674255	367.848806039124	289.976303626669
ERV3-16A3_LTR	29.0139390031111	16.9260788752266	26.0185740856942	24.3748197251403
ERVL-B4-int	120.354117346238	132.990619733923	149.831099045204	129.438697850745
ERVL-E-int	305.18365469939	308.296436655912	344.521808582985	309.30805720178
ERVL-int	7.5221323341399	18.1350845091713	9.86911430836675	9.24562127505321
