Cobi_24_1_S54	Cobi_24_2_S55	TNF_24_1_S58	TNF_24_2_S59	UT_24_1_S52	UT_24_2_S53
DDX11L1	0	1	0	0	0	0
WASH7P	104	87	88	96	180	129
MIR6859-1	15	32	17	23	25	32
MIR1302-2HG	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	1	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
AL627309.1	3	4	2	1	1	2
AL627309.3	2	0	1	0	1	1
CICP27	0	0	0	0	0	0
AL627309.6	17	7	21	18	18	17
AL627309.7	20	22	27	35	42	26
AL627309.2	4	4	2	4	2	4
AL627309.5	1	6	4	8	11	6
RNU6-1100P	1	0	3	1	2	2
AL627309.4	0	0	0	0	0	0
FO538757.1	0	5	0	1	1	4
WASH9P	136	102	129	114	117	142
MIR6859-2	3	4	1	3	4	3
AP006222.1	3	1	2	6	1	3
AP006222.2	0	0	0	0	0	0
RPL23AP24	0	0	0	0	1	0
AL732372.1	0	0	0	0	0	0
AL732372.2	32	33	40	43	34	48
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
AL732372.3	3	0	2	1	2	0
FO681485.1	0	0	0	0	0	0
AL669831.3	19	11	10	18	26	23
AC114498.1	0	1	0	0	0	0
MTND1P23	5	4	9	3	2	2
MTND2P28	1928	1842	1243	1353	1387	1368
MTCO1P12	789	931	395	541	513	471
AC114498.2	0	0	0	0	0	0
MTCO2P12	8	13	6	2	6	3
MTATP8P1	7	8	4	7	3	6
MTATP6P1	14474	14771	9918	10246	9693	10048
MTCO3P12	46	40	23	27	23	14
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
AL669831.1	102	89	100	99	143	112
RNU6-1199P	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0
LINC01409	8	5	9	12	14	12
AL669831.6	1	1	0	2	0	0
AL669831.4	13	5	7	1	11	9
FAM87B	0	0	0	0	0	0
LINC01128	166	172	303	212	238	228
LINC00115	11	4	11	10	9	9
AL669831.7	0	0	0	0	0	1
FAM41C	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	0
AL645608.6	16	7	0	1	3	2
AL645608.2	59	64	12	5	13	8
AL645608.4	14	13	3	3	7	3
LINC02593	323	295	3	2	31	20
SAMD11	1089	997	21	14	72	56
NOC2L	2740	2716	4275	4181	4917	4978
KLHL17	669	598	324	346	392	422
PLEKHN1	149	160	110	141	98	95
PERM1	2	6	1	0	3	1
AL645608.7	25	24	29	22	29	34
HES4	233	206	445	483	466	487
ISG15	1011	1067	476	479	498	527
AL645608.3	0	0	0	0	0	0
AL645608.1	0	1	2	0	2	0
AGRN	2133	2111	1549	1579	1459	1525
AL645608.5	283	270	195	221	188	212
AL390719.1	119	113	200	188	194	187
AL645608.8	0	1	5	15	10	6
RNF223	45	42	92	90	77	69
C1orf159	85	81	144	158	189	169
AL390719.3	0	0	0	0	0	0
LINC01342	0	0	0	0	0	0
MIR200B	1	0	1	1	0	0
MIR200A	1	2	1	1	1	1
MIR429	6	3	1	1	4	3
AL390719.2	33	19	23	31	23	22
TTLL10-AS1	0	0	0	0	0	0
TTLL10	5	3	2	1	2	0
TNFRSF18	283	234	236	229	296	342
TNFRSF4	1	1	0	1	0	1
SDF4	1920	1990	1745	1731	2120	2122
B3GALT6	211	211	134	123	210	196
C1QTNF12	8	5	6	10	6	10
AL162741.1	5	2	3	2	3	1
UBE2J2	401	431	544	523	566	617
LINC01786	8	6	8	1	7	5
SCNN1D	75	44	13	20	32	42
ACAP3	280	275	183	222	331	294
MIR6726	0	0	0	0	0	0
PUSL1	137	143	274	276	307	288
INTS11	767	789	994	913	1233	1217
