Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Alu	203	216	250	244
AluJb	18011	17290	20469	21603
AluJo	11026	10206	12332	13107
AluJr4	2637	2517	3080	3242
AluJr	11923	11279	13852	15787
AluSc5	822	729	1012	1129
AluSc8	2446	2390	3061	3175
AluSc	3740	3536	4361	4845
AluSg4	919	842	1082	1142
AluSg7	1024	993	1268	1261
AluSg	4804	4737	5982	6438
AluSp	7166	7006	8700	10309
AluSq10	189	166	215	255
AluSq2	7988	7606	9312	10456
AluSq4	222	191	304	264
AluSq	2648	2543	3056	3310
AluSx1	15173	14653	17698	20357
AluSx3	3860	8825	4426	4843
AluSx4	1180	1194	1555	1601
AluSx	14240	13583	16392	18558
AluSz6	6282	6056	7197	7993
AluSz	13564	12882	15735	17950
AluY	10902	10566	13553	14162
AluYa5	202	201	268	259
AluYa8	21	14	18	19
AluYb8	150	151	197	227
AluYb9	19	16	11	1312
AluYc3	76	67	111	74
AluYc	296	332	417	488
AluYd8	20	18	9	18
AluYe5	106	113	126	141
AluYe6	18	17	18	22
AluYf1	157	191	196	208
AluYg6	35	45	40	62
AluYh3	246	219	253	224
AluYh3a3	48	49	55	75
AluYh7	5	10	7	10
AluYh9	9	5	12	7
AluYi6	32	31	49	60
AluYi6_4d	9	14	8	10
AluYj4	233	225	277	276
AluYk11	59	69	74	77
AluYk12	13	17	12	11
AluYk2	62	63	89	100
AluYk3	111	103	139	148
AluYk4	95	93	110	138
AluYm1	411	419	525	499
AmnSINE1	162	149	172	163
Arthur1	80	81	92	97
Arthur1A	65	43	52	77
Arthur1B	114	96	103	122
Arthur1C	21	32	31	28
BLACKJACK	96	83	112	136
CR1-12_AMi	6	5	5	8
CR1-13_AMi	1	1	1	6
CR1-16_AMi	18	14	19	28
CR1-3_Croc	75	69	96	104
CR1-L3A_Croc	14	10	20	30
CR1_Mam	549	562	422	475
Chap1_Mam	106	111	117	129
Charlie10	104	107	142	198
Charlie10a	17	15	23	25
Charlie10b	32	24	28	41
Charlie11	10	10	6	7
Charlie12	3	0	1	0
Charlie13a	59	43	57	74
Charlie13b	44	50	62	66
Charlie14a	17	11	28	29
Charlie15a	388	383	437	499
Charlie15b	168	143	157	230
Charlie16a	159	155	148	212
Charlie17	336	339	355	556
Charlie17a	100	90	118	112
Charlie17b	23	20	28	21
Charlie18a	306	275	241	326
Charlie19a	172	130	171	185
Charlie1	367	304	331	421
Charlie1a	1062	998	1059	1263
Charlie1b	260	246	310	339
Charlie20a	104	113	125	124
Charlie21a	94	95	76	91
Charlie22a	148	149	141	161
Charlie23a	94	106	108	133
Charlie24	150	111	170	196
Charlie25	73	54	77	101
Charlie26a	39	27	39	43
Charlie29a	162	120	171	154
Charlie2a	197	176	159	211
Charlie2b	361	321	343	419
Charlie30a	40	43	54	53
Charlie3	38	44	71	63
Charlie4	21	28	20	20
Charlie4a	349	314	362	383
Charlie4z	784	790	786	989
Charlie5	216	207	222	256
Charlie6	19	25	19	26
