TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Alu	200	203	250	244
AluJb	17140	15408	20469	21603
AluJo	10224	9143	12332	13107
AluJr4	2667	2266	3080	3242
AluJr	11682	10289	13852	15787
AluSc5	871	845	1012	1129
AluSc8	2517	2252	3061	3175
AluSc	3730	3341	4361	4845
AluSg4	838	806	1082	1142
AluSg7	1068	959	1268	1261
AluSg	4844	4551	5982	6438
AluSp	7297	6582	8700	10309
AluSq10	182	156	215	255
AluSq2	8039	7194	9312	10456
AluSq4	234	215	304	264
AluSq	2499	2258	3056	3310
AluSx1	14458	13110	17698	20357
AluSx3	10633	4623	4426	4843
AluSx4	1304	1146	1555	1601
AluSx	13718	12507	16392	18558
AluSz6	6134	5518	7197	7993
AluSz	12875	11868	15735	17950
AluY	11126	10055	13553	14162
AluYa5	204	194	268	259
AluYa8	8	9	18	19
AluYb8	157	169	197	227
AluYb9	12	3	11	1312
AluYc3	76	70	111	74
AluYc	380	348	417	488
AluYd8	14	8	9	18
AluYe5	124	99	126	141
AluYe6	23	18	18	22
AluYf1	179	162	196	208
AluYg6	42	65	40	62
AluYh3	194	185	253	224
AluYh3a3	54	61	55	75
AluYh7	4	6	7	10
AluYh9	7	3	12	7
AluYi6	36	39	49	60
AluYi6_4d	13	5	8	10
AluYj4	265	224	277	276
AluYk11	59	55	74	77
AluYk12	16	13	12	11
AluYk2	78	74	89	100
AluYk3	126	94	139	148
AluYk4	110	85	110	138
AluYm1	433	393	525	499
AmnSINE1	134	126	172	163
Arthur1	61	59	92	97
Arthur1A	49	43	52	77
Arthur1B	90	74	103	122
Arthur1C	15	41	31	28
BLACKJACK	101	95	112	136
CR1-12_AMi	8	3	5	8
CR1-13_AMi	3	3	1	6
CR1-16_AMi	18	20	19	28
CR1-3_Croc	87	82	96	104
CR1-L3A_Croc	10	20	20	30
CR1_Mam	362	324	422	475
Chap1_Mam	110	104	117	129
Charlie10	166	139	142	198
Charlie10a	21	16	23	25
Charlie10b	31	37	28	41
Charlie11	4	7	6	7
Charlie13a	49	50	57	74
Charlie13b	44	51	62	66
Charlie14a	21	13	28	29
Charlie15a	324	302	437	499
Charlie15b	168	150	157	230
Charlie16a	172	145	148	212
Charlie17	280	288	355	556
Charlie17a	99	78	118	112
Charlie17b	15	12	28	21
Charlie18a	279	221	241	326
Charlie19a	154	164	171	185
Charlie1	284	266	331	421
Charlie1a	1045	955	1059	1263
Charlie1b	266	256	310	339
Charlie20a	103	81	125	124
Charlie21a	75	65	76	91
Charlie22a	105	124	141	161
Charlie23a	114	97	108	133
Charlie24	158	128	170	196
Charlie25	84	57	77	101
Charlie26a	29	31	39	43
Charlie29a	154	123	171	154
Charlie2a	168	109	159	211
Charlie2b	371	297	343	419
Charlie30a	39	35	54	53
Charlie3	60	43	71	63
Charlie4	27	22	20	20
Charlie4a	337	322	362	383
Charlie4z	754	683	786	989
Charlie5	193	183	222	256
Charlie6	26	25	19	26
