baseMean	log2FoldChange	lfcSE	pvalue	padj
ATG12	3758.14499306366	-1.92496170376313	0.0733161851120645	2.56384779632509e-153	3.94550537376468e-149
DCUN1D5	312.701605395334	-2.68215418977596	0.169293264146284	1.15149711553133e-57	8.86019455545584e-54
NTSR1	297.602134818019	-2.22284564507188	0.157770535827546	3.28503384349127e-46	1.6851128605829e-42
NQO1	1646.21330481188	-1.11553172293805	0.0885018154354707	3.9134827404126e-38	1.50561464730524e-34
MKI67	1425.72106988314	-1.181410472827	0.0956450063351755	3.28720228566569e-36	1.01173511948218e-32
SUSD2	323.594974730163	2.86259422285804	0.234484510803546	3.26387845085298e-35	8.37130424669608e-32
TSC22D1	1221.85230719429	-0.915308642525377	0.0825130744023158	1.24892448128695e-29	2.74567126321785e-26
UCA1	302.49094012352	-1.43064278907447	0.13177039991731	1.26322849281434e-28	2.42997790948999e-25
PJA2	1855.29733401285	0.977636555181683	0.0910985135846252	5.36917212637241e-28	9.18068776141611e-25
DCBLD2	1222.96351186199	-1.12676832631033	0.105749887076915	1.27689979829338e-27	1.96502109959369e-24
CPOX	1270.86058799752	-0.901268676641931	0.0851252705123834	2.81935099005515e-27	3.94427203508715e-24
TMED7-TICAM2	1291.24504388268	0.832555678700805	0.0791018272590778	3.8606399424881e-27	4.95094900624578e-24
ATF3	795.469460714908	1.04960267249617	0.103500013436419	2.70969044689228e-25	3.20764817594041e-22
CCNI	3504.38746254563	0.79226425530454	0.0783898871139305	3.68043236074926e-25	4.04558382854074e-22
ACBD3	1220.96711033304	0.860090548859104	0.0859162763812419	7.01697651083111e-25	7.19895010167867e-22
ITPRIPL2	280.037014268497	-1.70249131997965	0.1700222740615	7.9515851581644e-25	7.647933999937e-22
GOLGA2	1527.07477287625	0.829390676086971	0.0830425654069884	1.33451926544363e-24	1.20805393975953e-21
GRB7	420.094781415629	1.34897579984364	0.135406418722981	1.41421396117912e-24	1.20907436936586e-21
JUND	1461.14468687926	0.949771046152049	0.0968191330242876	4.07993913092672e-24	3.30453596241218e-21
PPP3CA	374.444005679855	-1.34153172009366	0.135986476286846	4.86228809101634e-24	3.74128757163252e-21
ADAM19	491.777052120444	-1.0593272654279	0.107667516579497	5.88611991341976e-24	4.31340473083889e-21
MTHFR	585.069183462991	1.0774482509653	0.111049175768096	2.16716521512278e-23	1.51593206797839e-20
TICAM2	557.200728914704	1.01526991287604	0.104929171845972	2.95668581917175e-23	1.97827991614061e-20
AKAP12	17975.6303442517	-0.741930925348742	0.0789711264921855	5.83213130602622e-22	3.73961119451823e-19
GALNT5	515.447491604145	-1.05337383617682	0.112793815843985	7.56753203290487e-22	4.65827001817492e-19
KITLG	2809.08609355748	-1.09048737521423	0.11727365130965	9.79947875556407e-22	5.80016071420675e-19
AGPS	518.627202410357	1.07235926698626	0.115886887179027	1.48793325145328e-21	8.48066844689428e-19
ARRDC4	343.814642694991	1.32801317027659	0.147826864083527	1.64602780691168e-20	9.04668640020139e-18
MCM4	408.727037454989	-1.22321929037119	0.135844999354209	1.83288443946738e-20	9.72629608240122e-18
LAMB3	1581.46896102796	0.898245123110021	0.100296831633649	2.91362159748443e-20	1.4945907587896e-17
MAP1LC3B	1141.15617717136	0.951386949160202	0.106986049240987	4.7811759047346e-20	2.37346825799874e-17
CPA4	822.244102698048	0.940759497166075	0.105937994856984	6.05565130201017e-20	2.91220055895733e-17
RCBTB1	168.048676524075	1.87449946668814	0.212115108439279	7.21087994431319e-20	3.27188683780552e-17
RBCK1	697.690573677142	0.99957212148875	0.112915230708753	7.22880970078547e-20	3.27188683780552e-17
WNT16	416.946290573539	-1.11979611953052	0.127601011122408	1.41934602825719e-19	6.24066172252856e-17
UPF2	766.132612969883	0.813391978368246	0.0926072076030818	1.48510719449015e-19	6.34842072666913e-17
GABARAPL1	975.505180383683	0.879358247812	0.100313338660224	1.56762664495781e-19	6.52005579439343e-17
TMEM158	273.702535402786	1.29021171140267	0.152834835508192	2.10064256919974e-18	8.50704960458283e-16
HNRNPA3	2281.92499045478	-0.562628664307496	0.0660996202379726	2.63653874214153e-18	1.0143423675704e-15
SOX4	674.741712909341	-1.23083513660466	0.146021515391249	2.59817118229982e-18	1.0143423675704e-15
LUC7L2	591.32807172938	0.88476275081283	0.105242971902225	3.76199727843305e-18	1.41203356384893e-15
KCMF1	1016.91375403847	0.869371284222699	0.103537554993701	4.06862406670692e-18	1.49076323244173e-15
ARL6IP1	2182.40006674329	0.7339953813691	0.0879130228077619	4.46675728560454e-18	1.59857971786438e-15
SBNO2	768.110055077712	0.887248551294008	0.106019359641534	4.82793977001631e-18	1.6885719345632e-15
MARVELD1	106.940585815661	-1.79540926676011	0.218690067588893	1.52436592484883e-17	5.2129927149997e-15
MCM3	329.908888662749	-1.16084890351255	0.140573769167447	1.96896193740924e-17	6.58703375104148e-15
MROH6	225.6106993728	1.72900336851444	0.212065820127093	2.0747206634939e-17	6.7931651681931e-15
NUP210	679.081676675825	-0.858674281800364	0.105046881116686	2.55362620259103e-17	8.18703200659863e-15
SEC31A	1592.67116344657	0.636281970477752	0.0775897337269642	2.76692956884743e-17	8.68985288469247e-15
MYC	1083.53318746535	-0.774447132185555	0.0948251716172264	3.04104981577161e-17	9.35974312298187e-15
RUVBL1	338.653073661985	-1.05060288482499	0.13004541149141	7.03168773820938e-17	2.08518238740601e-14
SLC38A1	1064.24384869046	-0.721676568870615	0.0893477043428543	7.04590838554243e-17	2.08518238740601e-14
FAM83H	254.161685902325	-1.29070488415762	0.161117071918369	7.32597646159094e-17	2.12715946730987e-14
AP1S3	585.1963444263	-0.899115691616739	0.112083542640442	8.96913460726681e-17	2.55603726798572e-14
COPB1	2243.13465212237	0.637685705792819	0.0795907306337339	1.30709877487537e-16	3.65726237210129e-14
SLC25A46	104.173828808768	2.15230956743089	0.271234733798017	1.40379390813614e-16	3.85767579505482e-14
ISG15	505.123191351806	0.949401743326744	0.120242875987667	2.32160299119252e-16	6.26792077744943e-14
ZNF770	383.885261674278	-1.02249250224243	0.130695703765532	3.88098775632185e-16	1.0297331134834e-13
HNRNPA2B1	3372.84421154468	-0.575132547679198	0.0736390800994482	6.28816715899533e-16	1.64014583745388e-13
RC3H1	544.604151835546	1.10516442106511	0.143705757170429	7.45196704795924e-16	1.91130534835075e-13
CD55	1370.18858685594	0.693325485867481	0.0896132623587135	1.11659696611743e-15	2.79127472215989e-13
FTL	20580.123855877	0.712224007481539	0.0922195542702677	1.12456321251487e-15	2.79127472215989e-13
KRT15	557.741024583342	0.876535191414016	0.113626918742136	1.16481845926436e-15	2.84530020152686e-13
SPTY2D1	894.844049706569	0.764671150645799	0.0991439994666903	1.18867634263988e-15	2.8582094120133e-13
DHCR24	470.454259352636	0.983765309237759	0.128453692807727	1.44784482892652e-15	3.42782831882311e-13
PDE4B	245.430735011449	-1.28846070843464	0.168277171448037	1.47285922654436e-15	3.43421676322594e-13
TIPARP	1097.2539226414	0.709236363097727	0.0927851642495038	2.41563796854291e-15	5.54839592506073e-13
MTAP	989.876099327605	-0.864490912310783	0.113922800461515	2.56426799311701e-15	5.80316472736435e-13
S100A14	1335.94777464738	0.670734742069998	0.088090277786222	3.12988027690806e-15	6.98054022917944e-13
MARF1	1064.54712517376	0.883846117075013	0.117647953926857	4.16290497397003e-15	9.15184923491782e-13
