gene  baseMean	log2FoldChange	lfcSE	pvalue	padj
ATG12	3758.14499306366	-2.63547635114259	0.0763694435743096	5.07592718426759e-263	7.49815963660008e-259
AP3S1	5179.78717326971	-2.16762610847453	0.0925880600637985	2.40411889677312e-121	1.77568221715662e-117
VCAN	896.609387366975	-2.22178525641118	0.110745261386607	9.30635254440551e-91	4.58244799286527e-87
NQO1	1646.21330481188	-1.72830310521266	0.0903828809147655	7.92333876827327e-83	2.92608900712332e-79
MKI67	1425.72106988314	-1.66186012697686	0.0974890992884577	1.49679831533666e-66	4.42214094283062e-63
PJA2	1855.29733401285	1.33707724799809	0.0904551170364184	1.18877661667122e-50	2.92676803024455e-47
NTSR1	297.602134818019	-2.33299053401115	0.159825305362979	2.67635398142359e-49	5.6478715733699e-46
HNRNPA3	2281.92499045478	-0.939144545049247	0.0669882380072417	1.1427591848802e-45	2.11010483488129e-42
MTHFR	585.069183462991	1.52517535537468	0.109313115228667	2.07817408654525e-45	3.41097640071628e-42
ARRDC4	343.814642694991	1.99271578953165	0.144133113957685	9.91418543831424e-45	1.46452347294778e-41
SUSD2	323.594974730163	3.18389882489709	0.232613227044145	1.62419624261179e-43	2.18114789962376e-40
GOLGA2	1527.07477287625	1.09482182027767	0.0824945487346952	2.54570800538295e-41	3.13376655462641e-38
MCM4	408.727037454989	-1.87084466478725	0.141087075550128	3.51215322117235e-41	3.99088672178138e-38
ARL14EPL	181.431319639834	-3.08927022805984	0.24102073867498	1.59162295557138e-38	1.67938959283575e-35
JUND	1461.14468687926	1.22120037912926	0.0961540987779685	4.62360305646926e-38	4.55332429001093e-35
CPOX	1270.86058799752	-1.0865011313009	0.085824717891531	1.05429521050372e-37	9.73378053097562e-35
HNRNPA2B1	3372.84421154468	-0.936747547773232	0.0740596310248374	1.27575118369974e-37	1.1085527344478e-34
ATF3	795.469460714908	1.28607520998283	0.102764651544057	4.40550184341617e-37	3.6154485128302e-34
ACBD3	1220.96711033304	1.06329403085398	0.0855011277797863	1.54737850727973e-36	1.20304606892296e-33
MAL2	1561.63119427418	-1.1351179323454	0.0915537858850822	3.0562427730674e-36	2.25734091218758e-33
NUP210	679.081676675825	-1.29581058955602	0.107523019202056	1.14130074057777e-34	8.02823549514989e-32
CCNI	3504.38746254563	0.94040144194946	0.0781778458057946	1.73646777342544e-34	1.16595917950185e-31
TMED7	2006.2778903329	-1.22709612867812	0.102550475380181	3.84761368087443e-34	2.47117170842944e-31
TSC22D1	1221.85230719429	-0.993159421212941	0.0828802468442667	4.50698778955516e-34	2.7740509844712e-31
UCA1	302.49094012352	-1.57521865240164	0.133752342211899	3.33745340750743e-33	1.97203446942799e-30
DKK1	827.429708083015	-1.24888822824178	0.109808821537446	4.37250670118113e-31	2.48425649960952e-28
TYMS	453.308176072658	-1.55166361495656	0.136990500045887	7.66699963196458e-31	4.19470068753262e-28
ACSL5	524.29130509099	-1.20039506287906	0.107020191383526	2.66496161634738e-30	1.40595760702441e-27
GPR107	1471.73330379668	0.965499417612452	0.0877322001166135	3.14712799277664e-29	1.60308188652746e-26
GRB7	420.094781415629	1.46621064688547	0.135028151519496	1.46080155663686e-28	7.19298686487989e-26
MYC	1083.53318746535	-1.02910679248502	0.0956524525628392	4.78722740740053e-28	2.28119107297163e-25
HLA-B	2540.71341149081	0.87285199683327	0.0819126092225715	1.87334354795248e-27	8.64782215323565e-25
TMF1	1137.40763322931	0.958262335888492	0.0914289319753654	8.16748277337298e-27	3.65606228873532e-24
DNAJB2	374.238532443711	1.32845694563458	0.127203434593056	1.35919596106032e-26	5.90530668728913e-24
MCM3	329.908888662749	-1.49959690511813	0.143933169190658	1.47447788778249e-26	6.22313924523512e-24
RBBP4	901.186755481426	-0.963336286932409	0.0925580559802243	2.15354750748245e-26	8.83672327236964e-24
AXL	797.739389346163	-1.01657611711295	0.0985185382912941	4.97975049774661e-26	1.98813173926251e-23
UPF2	766.132612969883	0.942212304403165	0.0921708512338252	1.59894833784456e-25	6.21570127543153e-23
NT5E	405.551021840088	-1.45678077076834	0.143126069927285	1.73778293763104e-25	6.58218706530403e-23
DCBLD2	1222.96351186199	-1.06921180375443	0.10572565574141	3.14804654541352e-25	1.16257358922121e-22
RUVBL1	338.653073661985	-1.34076822234792	0.132810647364837	4.91724240741461e-25	1.77164645956899e-22
CCDC186	671.651142083428	1.20630580001754	0.119761124703249	5.6078649160345e-25	1.97236620332528e-22
TMED7-TICAM2	1291.24504388268	-0.855927636683265	0.0846784881468913	6.73185782572261e-25	2.31262799538545e-22
AKAP12	17975.6303442517	-0.789254900086166	0.0788689270657981	1.71494228148016e-24	5.7575289504602e-22
FTL	20580.123855877	0.915223568562765	0.0918999763341244	1.91688717932986e-24	6.29250164734684e-22
MCM5	240.148960630472	-1.62685084868464	0.165191915487068	5.39088148112037e-24	1.7311761138937e-21
ATAD2	796.800188632053	-0.968916402465772	0.0977279787224753	7.2331368568131e-24	2.27335952444347e-21
SCD	14151.6173327635	0.786200007061004	0.0800576856639066	1.03952404484249e-23	3.19913524800277e-21
AP1S3	585.1963444263	-1.09948316429908	0.113129178735797	2.09238861355251e-23	6.30791114273422e-21
CENPF	881.184833251325	-1.14155699390797	0.118109123562398	3.56878762838322e-23	1.05436261692954e-20
SPTY2D1	894.844049706569	0.954122056808988	0.0985053193272567	3.81321656378509e-23	1.08510554545748e-20
TMEM87A	860.81967272604	1.05039001805513	0.108702882241308	3.81975956971221e-23	1.08510554545748e-20
AGPS	518.627202410357	1.10923199940922	0.115861372964049	9.13968458424179e-23	2.54738529581924e-20
MAP1LC3B	1141.15617717136	1.01342207436584	0.106787865517412	2.08873567850941e-22	5.71385248943351e-20
TMED9	1951.96531332573	0.936222509101579	0.0986080415275135	2.22951333764853e-22	5.98806745886257e-20
POFUT2	422.025554141241	1.15659817654411	0.122321475661996	2.46480206826516e-22	6.50179574150232e-20
ANO1	300.99762380886	-1.31273687210199	0.139075082208702	3.27183042919308e-22	8.47920685965618e-20
NCL	5194.41418198467	-0.613595092358107	0.0644163045986896	3.40411316030103e-22	8.59377316961602e-20
ADAM19	491.777052120444	-1.01671743256227	0.107722083755334	3.43238977123846e-22	8.59377316961602e-20
GOLGA3	1326.45132625785	0.891947621672148	0.0954417275689863	5.54829334777408e-22	1.36598982222198e-19
MCM2	389.548399772987	-1.2278214932494	0.130821298384955	5.84684059098801e-22	1.41589392147664e-19
USO1	2047.97956616368	0.670146579669416	0.0715122756349109	7.28368410555116e-22	1.73539647753551e-19
SEMA6A	167.822896962186	-1.9275567936597	0.206820036875937	8.62952149218124e-22	2.02341732511907e-19
ASPM	207.051866064364	-1.66144846081806	0.178594526301919	1.15456208961456e-21	2.64880515272345e-19
YKT6	1023.32711797753	0.922459359247618	0.0991256721946394	1.16553164721787e-21	2.64880515272345e-19
