gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NQO1	1646.21330481188	-1.4726485573933	0.0901250126956042	-16.3400649092516	5.11983715816688e-60	7.56302345004412e-56
SUSD2	323.594974730163	3.2274626669053	0.234152365044197	13.7836005470032	3.19910196387853e-43	2.36285671052068e-39
MTHFR	585.069183462991	1.42081415066459	0.11013408072118	12.900767331609	4.45637505176878e-38	2.19431907549095e-34
MKI67	1425.72106988314	-1.21655511928791	0.0963367573059878	-12.6281510122231	1.47708286000255e-36	5.45486700198943e-33
NTSR1	297.602134818019	-1.97094186118715	0.157550091195164	-12.5099379266348	6.58756861027167e-36	1.94623127021866e-32
TSC22D1	1221.85230719429	-1.03868037422774	0.0836575933395303	-12.4158529162102	2.14389851380086e-35	5.27827814097773e-32
ARRDC4	343.814642694991	1.79695614675559	0.145705730137624	12.3327761033029	6.03317396926525e-35	1.27317208391409e-31
HNRNPA3	2281.92499045478	-0.795235926335968	0.0670521016947456	-11.8599701759726	1.91043162442852e-32	3.52761199450726e-29
VCAN	896.609387366975	-1.23195304019505	0.105269824714064	-11.7028126867439	1.23297755457958e-31	2.02372715958328e-28
NT5E	405.551021840088	-1.63136218218266	0.14608715707116	-11.1670472263897	5.91134226299657e-29	8.73223479089853e-26
MCM4	408.727037454989	-1.5485915921804	0.139546398015783	-11.097324002625	1.29256122992426e-28	1.73579222622193e-25
MAL2	1561.63119427418	-1.00627325319645	0.0914759151170449	-11.0004174531504	3.8036695484209e-28	4.68231721410613e-25
PJA2	1855.29733401285	0.953662298462575	0.0911117008363901	10.4669574786566	1.22517657110668e-25	1.39217756218368e-22
UCA1	302.49094012352	-1.37970480651095	0.13336384935713	-10.3454182911014	4.38995004686516e-25	4.63202443516373e-22
NUP210	679.081676675825	-1.0985571375966	0.107214901564335	-10.2463101823342	1.22947699121438e-24	1.21078894094792e-21
HNRNPA2B1	3372.84421154468	-0.752762457630765	0.0739152961674844	-10.1841228630821	2.3345568323336e-24	2.155379595452e-21
MYO6	1094.27156583795	1.0710784791897	0.106788865541542	10.0298703779472	1.12664410285814e-23	9.78987452201202e-21
AXL	797.739389346163	-0.993597138029015	0.0991576795049772	-10.0203750530401	1.24031374819172e-23	1.01788414934934e-20
PHGDH	524.910093417528	-1.23914315787446	0.123997614732842	-9.99328221388966	1.63090267238121e-23	1.26798390928501e-20
AGPS	518.627202410357	1.15374764464551	0.116191206936753	9.92973285210421	3.09082506179778e-23	2.28288339064384e-20
MCM2	389.548399772987	-1.30694373055884	0.132667144632683	-9.85129916059764	6.7663618960796e-23	4.75965228232799e-20
JUND	1461.14468687926	0.947978030193782	0.09666132366501	9.80721134627848	1.04825390884195e-22	7.03854851882419e-20
SLC25A46	104.173828808768	2.58064141614978	0.268647782931883	9.60604025086675	7.53927415788688e-22	4.64042324417938e-19
TYMS	453.308176072658	-1.30691600864831	0.136046722068486	-9.6063763152662	7.51471684071661e-22	4.64042324417938e-19
ADAM19	491.777052120444	-1.03918957598367	0.108926980420355	-9.54024036995599	1.4250163742147e-21	8.42013675195982e-19
YWHAB	1063.09469780455	-0.806342464180293	0.0850787072986732	-9.47760596960631	2.60183690266796e-21	1.47824364331581e-18
DKK1	827.429708083015	-1.03314565516554	0.109293284293588	-9.45296558560967	3.29364251107942e-21	1.80198841383945e-18
ATAD2	796.800188632053	-0.929229056145904	0.0984308273756403	-9.4404271600776	3.71262760218008e-21	1.95867624783586e-18
DCBLD2	1222.96351186199	-0.995588910639578	0.105577247524369	-9.42995705973276	4.10256887860909e-21	2.08976370602805e-18
ANO1	300.99762380886	-1.32534971526711	0.140989578579941	-9.40033815701938	5.43879907602385e-21	2.67806466503415e-18
AKAP12	17975.6303442517	-0.731989798833252	0.0785738003838454	-9.3159525854339	1.20863056006516e-20	5.75931955912339e-18
CPOX	1270.86058799752	-0.789641792065601	0.0852578548929395	-9.26180693916326	2.01001373189358e-20	9.27872588985372e-18
KLHL24	511.9606888041	1.12170570800646	0.121356189934352	9.24308606436352	2.39488225258138e-20	1.07203638288279e-17
NCL	5194.41418198467	-0.594689646066409	0.0644967250178751	-9.22046268088174	2.9582096572578e-20	1.28525508991212e-17
