baseMean	log2FoldChange	lfcSE	pvalue	padj
SUSD2	323.594974730163	2.89357391727588	0.239517972053737	1.52774155801802e-34	1.97353654464768e-30
UCA1	302.49094012352	-1.63042657008806	0.141564619776425	8.90380798859658e-32	5.75096957983453e-28
MT-TV	1375.64308919408	1.03434173488499	0.0925553099973181	3.44071755249015e-30	1.48157297810226e-26
NTSR1	297.602134818019	-1.5539438141342	0.157675384117693	4.24178054238639e-24	1.36988302616368e-20
NQO1	1646.21330481188	-0.871842273041551	0.0897727646394178	1.13706131472686e-23	2.93771161272833e-20
ARRDC4	343.814642694991	1.44605917110994	0.151262781125666	6.12301841263835e-23	1.31828586424104e-19
RCBTB1	168.048676524075	2.02547623800137	0.216149319063543	4.93135497041206e-22	9.10046335825472e-19
PJA2	1855.29733401285	0.86653901475616	0.0927050785532998	6.22785266765688e-22	1.00564250950989e-18
TSC22D1	1221.85230719429	-0.790485451620099	0.0845749988284921	7.43589475008154e-22	1.06729875979504e-18
AGPS	518.627202410357	1.09368017687123	0.119267190088096	3.04992516433754e-21	3.93989332729123e-18
GRB7	420.094781415629	1.26792103925897	0.13919850373237	5.23993245195869e-21	6.15358612858203e-18
RBCK1	697.690573677142	1.00578532445617	0.115334477224451	1.94876732416019e-19	2.09784802445845e-16
TMF1	1137.40763322931	0.810575046200413	0.0937940832605551	3.40540355197812e-19	3.38392331418872e-16
PPP3CA	374.444005679855	-1.2221941245143	0.141513357606189	4.01404446951516e-19	3.70381617551406e-16
SOX4	674.741712909341	-1.29911140161498	0.152758811962252	8.79680205504622e-19	7.57580592980581e-16
MTHFR	585.069183462991	0.979607057649479	0.114866987465831	9.84305009075036e-19	7.61276240161685e-16
GOLGA2	1527.07477287625	0.727146154579742	0.084980714455587	1.00183434608675e-18	7.61276240161685e-16
CRABP2	492.268064348918	-0.985560441592234	0.115999432746438	1.32042733209974e-18	9.47626682003581e-16
AL138963.4	192.995907435674	-1.73499876623538	0.20670748637511	2.5947844927106e-18	1.76418031983345e-15
BMP4	383.393746937931	-1.23188170364967	0.147751215044528	4.34048046153859e-18	2.80351633010777e-15
MT-RNR2	308626.384324109	0.609013566232211	0.0735050305920655	1.22815186793477e-17	7.55488849046732e-15
CPA4	822.244102698048	0.890591574436036	0.108088194460971	1.43140933778224e-17	8.40497537521408e-15
LUC7L2	591.32807172938	0.888252293583563	0.108354665847964	1.72767788543942e-17	9.70354040178538e-15
KRT7	872.191114155622	-0.805423913640672	0.098467795035944	2.11922816547353e-17	1.14067456006613e-14
UPF2	766.132612969883	0.780011551716902	0.0955313877546066	2.57471482278025e-17	1.33040664322701e-14
AKAP9	715.038217994921	1.18210327144139	0.146099005909634	3.44738127205138e-17	1.71281812585999e-14
SLC25A46	104.173828808768	2.1964018711399	0.27830677262537	2.04116766122203e-16	9.7658532769134e-14
RBM5	364.765445238167	1.1047769324724	0.142942561216354	6.92902498969654e-16	3.19675517203214e-13
MAL2	1561.63119427418	-0.710547345459264	0.0925799245798058	1.56411929819963e-15	6.96734244625615e-13
COPB2	2248.87939098066	0.585330228351089	0.0761253592330783	1.65873838342212e-15	7.14252747901565e-13
ATF3	795.469460714908	0.817924282531122	0.107291735111678	1.77619186350068e-15	7.40156338474251e-13
CDK5RAP3	886.964377091143	1.02532610355809	0.135331063290521	2.22370087820611e-15	8.9768024827083e-13
DCBLD2	1222.96351186199	-0.810345692943641	0.107374645042508	2.97980833980145e-15	1.16645951919864e-12
USO1	2047.97956616368	0.557127353166148	0.0733366148316673	3.54483421198267e-15	1.34682848089388e-12
KITLG	2809.08609355748	-0.889627118258614	0.118482907635489	4.25240996540962e-15	1.5695037695189e-12
POFUT2	422.025554141241	0.946025815595489	0.127105273278864	6.64997346520328e-15	2.38623214509711e-12
MARF1	1064.54712517376	0.886128197043175	0.119354027068653	7.22463418905609e-15	2.52237363389802e-12
MAP1LC3B	1141.15617717136	0.810527038241215	0.109253841547737	8.90640821415692e-15	3.02771003448629e-12
SEC31A	1592.67116344657	0.591162072822566	0.0794908124365233	1.13898607344303e-14	3.77267233249668e-12
OGA	1977.78481218977	0.650092500065643	0.0900751810303119	2.80766656328988e-14	9.06735916614468e-12
