baseMean	log2FoldChange	lfcSE	pvalue	padj
SUSD2	323.594974730163	5.98925160433646	0.225821807530606	1.95291150951612e-155	2.88484088185721e-151
FOSL1	815.06067766653	-3.33207690443748	0.146469746677874	1.7728507519158e-115	1.30942756536501e-111
DKK1	827.429708083015	-2.36328270839714	0.120335105796591	2.49682116007118e-87	1.22943473921905e-83
EMP1	1824.07111327514	-1.49322856227493	0.0825018732805563	1.70492212848737e-74	6.29627742050387e-71
SOX4	674.741712909341	2.42394737575878	0.134719799679599	8.12697352693625e-74	2.40103305879804e-70
GALNT5	515.447491604145	-2.26282639525757	0.128069087715996	4.54595125335604e-71	1.11921319857626e-67
FAM3C	3533.38210915848	-1.14035797035836	0.0651668835502704	1.02097013239877e-69	2.15453868511352e-66
ATG12	3758.14499306366	-1.19531770936982	0.0724774973790599	2.40277311825076e-62	4.43672056285003e-59
NT5E	405.551021840088	-2.68802812397046	0.164953821830911	8.10992921672386e-61	1.33110971543828e-57
MAN1A1	434.127983861556	1.89005694646122	0.119136094534522	9.36573007099747e-58	1.38350564608775e-54
NR2F1	202.690387675878	2.62718018445425	0.166072642479012	1.19633329849025e-57	1.60656686229981e-54
INPP4B	211.019058249992	2.64525806683346	0.169289195497166	2.35063829286135e-56	2.89363573851232e-53
SEMA3A	86.4909032376321	4.00734751932946	0.259118549999853	6.62141609875134e-55	7.52396604698114e-52
ADGRF1	507.306902509258	-2.06632594649505	0.135812555292527	1.97248584731762e-53	2.08125435261256e-50
BMP4	383.393746937931	1.83009754661888	0.123066524704704	3.06752401152568e-51	3.02089764655049e-48
ASPH	4677.56739198687	-1.00598720148792	0.0693739913955354	9.80908645716527e-49	9.05623907157784e-46
RHOB	966.026330172899	1.25559260019313	0.0864171831135818	1.16120138323291e-48	1.00901569606568e-45
VCAN	896.609387366975	-1.56983003737598	0.108484308801443	1.58812775720515e-48	1.30332351274636e-45
CPA4	822.244102698048	-1.89993846486845	0.131723375510118	3.8432322474401e-48	2.98801193469396e-45
HS3ST1	393.124074939806	-1.99425321409204	0.139051998428431	7.90976702961631e-48	5.84215392807461e-45
WNT16	416.946290573539	-1.94672574712773	0.138804806431123	6.18351767683683e-46	4.34966300582065e-43
F3	536.464514687457	-1.63706930727479	0.117267979615172	1.91788299578112e-45	1.28777125516721e-42
EGR1	1045.52795653405	1.30229408229136	0.0948389910290059	3.84519850079518e-44	2.46962053277158e-41
TGM2	319.323129807818	1.73921654259503	0.131355831723227	3.49661541660332e-41	2.15216678891934e-38
CYP24A1	711.990399146358	1.35809828223166	0.104345722407859	7.65690988731996e-40	4.52431491421962e-37
CDCP1	1562.46020742811	-1.19995683514473	0.0964620462312581	1.04521515686349e-36	5.9384301143029e-34
FRAS1	1522.45814682975	1.12914485575723	0.0908819865835785	2.07021986481613e-36	1.13264029048385e-33
ITGB4	2899.14509104559	-1.10032430090163	0.0914171059289235	8.38726437732624e-35	4.42488104935226e-32
STK39	1187.90299732493	-1.07530535660662	0.0890444967519261	1.03367301929802e-34	5.26531649692082e-32
F2RL1	1598.50622960735	-1.02738314658699	0.0879855952013371	1.47325089939227e-32	7.25428742860751e-30
TXNRD1	5686.23806183332	-0.898642057109972	0.0781037013184674	8.76695454862016e-32	4.17759524491023e-29
BCAR3	530.180774534035	-1.33899463432424	0.117519090900388	2.50736871391287e-31	1.15746408256003e-28
NTSR1	297.602134818019	-1.79101992404683	0.157532307322511	3.66979911976556e-31	1.64273553324779e-28
JUN	294.589240788966	1.68302317955122	0.150380073756926	2.58527856153179e-30	1.12322749738081e-27
TSC22D1	1221.85230719429	-0.936198881689938	0.0839919074265078	6.50676941636296e-30	2.74622850910039e-27
ASNS	1796.18945416325	-1.05573045063112	0.0956034375381377	1.80837918024234e-29	7.42038256959442e-27
MET	2345.78365005852	-0.880660250713951	0.0802473209951323	4.37543121109034e-29	1.74686134730342e-26
DUSP4	1447.36693926554	-0.99072972851535	0.0903416664272143	5.43497410764864e-29	2.1127746715312e-26
AC079781.5	1745.25573600366	-1.04356807772701	0.0959130626735692	1.28181786292645e-28	4.85513165926912e-26
PDLIM5	866.350776865948	1.10432763316463	0.102333447647068	2.58114712380442e-28	9.53217632820972e-26
GRIN2B	195.163539523297	1.80941508660731	0.168165458967807	2.93035676981288e-28	1.05578610252868e-25
ID3	638.357983284436	1.1322234050937	0.105049202338237	3.13172209080313e-28	1.10147139822247e-25
AP3S1	5179.78717326971	-0.990350543970937	0.0915982971987779	3.55528030013727e-28	1.22136280450297e-25
SEMA3B	452.769517888074	1.48066665712347	0.139690759652461	1.57717757059023e-27	5.29501524380884e-25
FHL2	467.661310000313	-1.39962958524067	0.134270105212443	1.3731681413189e-26	4.50765328523618e-24
TSPAN13	434.789389156887	1.23991000399472	0.118981791325279	1.55033833513786e-26	4.97860823622966e-24
LMNA	3385.10304515481	-0.787909749336299	0.076117874338819	3.98185110862187e-26	1.23287705544531e-23
TMEM158	273.702535402786	-2.41364443013042	0.233201060922385	4.00609928658102e-26	1.23287705544531e-23
SLC1A3	229.968126730665	1.676114601851	0.163353402359172	5.75022423939754e-26	1.73351658090572e-23
KLF4	406.044523121644	-1.31447047726691	0.128926458652273	9.59116108778074e-26	2.83361263177394e-23
ZNF704	206.424550898386	1.64887501146578	0.163728274197336	4.40507042169101e-25	1.27591569155333e-22
ELK3	497.422523565016	-1.16324931558935	0.116472433613784	1.1651330121132e-24	3.30987401056466e-22
CD68	343.693400254216	-1.74449604156662	0.175262786205801	1.61510793488264e-24	4.5015800781295e-22
CD44	3446.24044431376	-0.716502667243094	0.0715322003594856	2.27955129274339e-24	6.23583920303804e-22
CDKN1A	2670.47284472905	-0.762096631851399	0.0764881290855498	3.07891201535227e-24	8.26939787105159e-22
TFRC	1728.12662941383	-0.831286271543429	0.0843829120193645	4.11154114068053e-24	1.08456581660952e-21
SYT1	582.504609323834	1.19303364454227	0.121003807434343	5.10801308290963e-24	1.32378191685511e-21
PAICS	1846.08858540794	-0.722857549504959	0.0730184455094105	5.26404384346304e-24	1.34069751130407e-21
GAS6	374.41118146988	-1.45976911369055	0.148869020270973	6.80260482768582e-24	1.70318777143347e-21
CAV1	1242.6487462566	-0.91215260361305	0.0939748697182708	2.16891403736188e-23	5.33986635998496e-21
CCN1	656.507602633384	1.02285911842571	0.105989594356014	3.60662839281973e-23	8.73395321618574e-21
RCBTB1	168.048676524075	2.04590497007671	0.213557809314641	6.97205247073278e-23	1.66114772738169e-20
MACF1	887.034997473899	0.957054406372536	0.0996308593017453	9.01853082738796e-23	2.11463075209802e-20
FAM122B	615.180220116716	-1.05101646443786	0.111097483680778	2.36268379211283e-22	5.45336952767043e-20
TMSB4X	1673.28712388973	0.917928469389041	0.0972275081508286	3.39741521889574e-22	7.72101809438891e-20
TSPAN5	274.905109307228	-1.43323745861362	0.152399785674019	3.67695631092966e-22	8.22969676137165e-20
HMGA1	16046.8565140053	-0.791041860864659	0.0842877627682346	5.96130832173669e-22	1.31433502281633e-19
AP1S3	585.1963444263	-1.07347712733526	0.11517861977518	7.83368049882806e-22	1.70175188718659e-19
IRS1	670.278947575876	1.01459038633688	0.109117066992825	1.12726081951276e-21	2.41331838055687e-19
MCAM	193.863487246865	1.41904067527347	0.153434388620798	1.47715262393509e-21	3.11721408010987e-19
CST6	214.455853543119	1.42501948537477	0.154811790308524	2.1842112333792e-21	4.54438990696867e-19
CAB39	866.825869779006	-0.853062812420741	0.0922991923028467	2.34768604332413e-21	4.81666919888668e-19
MAL2	1561.63119427418	-0.847773010175743	0.091914731401118	2.97680341146393e-21	6.02374520467743e-19
SAMD4A	240.575256715645	1.46438267845348	0.159911902972845	3.2159309549007e-21	6.41969352240447e-19
NDRG1	2270.0154049313	-0.873436149965677	0.0963675334499357	1.19761644176215e-20	2.35882534369473e-18
TOP1	2976.83908425435	-0.729819832008125	0.0804939488498245	1.31551479421321e-20	2.55694533422599e-18
TMED7-TICAM2	1291.24504388268	-0.78279034088927	0.0862176129093864	1.36575307463546e-20	2.62011745695e-18
SLC25A46	104.173828808768	2.45076672939888	0.271347986144336	1.3887847287103e-20	2.63014461698827e-18
AGPS	518.627202410357	1.05211303466658	0.11801391877356	3.73481982769584e-20	6.98364031578771e-18
TINAGL1	431.165218091259	1.06357319110386	0.119473549858744	4.80875659665199e-20	8.76974721552386e-18
AXL	797.739389346163	-0.88941976820186	0.0998080930925901	4.77808223070757e-20	8.76974721552386e-18
ITGAV	374.890220948015	1.25575754125853	0.141559414600129	5.04290171921375e-20	9.08460295075921e-18
CD55	1370.18858685594	-0.833488090144896	0.0968130865504441	6.39181766446018e-19	1.13758952457115e-16
ADGRG6	593.811430067534	0.947459495463776	0.109983049206581	6.50307723115652e-19	1.14361258165053e-16
CLU	907.999940406983	0.908296621354026	0.106059785994036	8.28057594280699e-19	1.43906668031935e-16
MAP2	67.8771975581674	2.19117615697289	0.257019733287726	9.22798758130919e-19	1.58506782036162e-16
ADAM19	491.777052120444	-0.930015851738725	0.1097148588513	1.97669048214311e-18	3.35628411519748e-16
KRT18	4332.94949945457	0.787674438519915	0.0925455889937019	2.04290383212479e-18	3.42929266001675e-16
TMED7	2006.2778903329	-0.864069088102347	0.102866768421275	3.30484506709423e-18	5.48530014956359e-16
GCLC	744.05831403018	-0.868793369135691	0.10277640412795	3.36091352271354e-18	5.51637939528048e-16
L1CAM	145.32754831413	1.51517546334708	0.180683162923752	3.62105375558733e-18	5.87804462390506e-16
FTH1	17967.0448569341	-0.753713388703455	0.0896686133953838	4.36903616838644e-18	7.0151524216744e-16
ACSL5	524.29130509099	-0.891160910258708	0.107494106603242	1.08650018130572e-17	1.72578286862883e-15
MFGE8	367.928825891142	1.00752961876147	0.1226801450523	1.64316364120183e-17	2.58221418168441e-15
LAMC2	474.057584089798	-1.08903731021454	0.132809227697628	1.78160317668896e-17	2.77029917116308e-15
MSX1	379.030905794005	0.937105896484342	0.114266745824146	1.87837266485926e-17	2.89034593805218e-15
CALB2	78.2179976490788	-2.2762883265715	0.278302192899246	2.06091768197964e-17	3.13854391734054e-15
JUND	1461.14468687926	0.797392155669112	0.0980503838406851	3.01994452410836e-17	4.5521041336866e-15
PSAT1	998.189636369229	-0.982009566199972	0.119585679076635	3.18572779853708e-17	4.75349202424139e-15
HAS3	223.763352910194	-1.62362945845073	0.201314182967659	5.46595882243774e-17	8.07431437250504e-15
CAV2	952.994900009921	-0.761313905311872	0.0947243754934181	8.42709160959104e-17	1.23252472531563e-14
TACSTD2	326.306166951272	1.02565824822737	0.127970717179932	1.16424418231911e-16	1.68609951580568e-14
TRIM25	1503.66859847903	-0.792160436138308	0.0993366466000103	1.54885726578413e-16	2.22133199321973e-14
SYNE2	239.427028680179	1.24862601717068	0.159002253259437	2.60393987304039e-16	3.69859613505314e-14
PRKACB	685.256592054181	0.877037431372642	0.111266375279806	2.83178493007975e-16	3.9839168559179e-14
KRT7	872.191114155622	-0.764070944401069	0.0970180027418455	4.72295773577973e-16	6.58184261065455e-14
ARL14EPL	181.431319639834	-1.49514900686166	0.193515856871754	8.35995983454818e-16	1.15414323996211e-13
KRT23	61.5727218515914	2.1073702121815	0.274318977092226	9.14426662397252e-16	1.25073246823446e-13
SLC20A1	1021.89574393381	-0.737237280255853	0.0951512563566977	1.22341295563639e-15	1.65800515418906e-13
