baseMean	log2FoldChange	lfcSE	pvalue	padj
CCN1	684.648460717677	4.10180840744301	0.208558535454994	1.90645664557153e-87	3.07168294734485e-83
FOS	439.526152612363	2.91386029693735	0.15372168691992	1.94096974907776e-81	1.56364522985704e-77
CCN2	207.10220027379	5.44379579477008	0.323052082116716	1.0895789060978e-64	5.85176511168256e-61
TMSB4X	1252.16228724451	1.82578921860835	0.11677088005161	2.23875507790707e-56	9.01770545380969e-53
HAS3	233.040053234475	-4.49898310014779	0.296406964461364	1.67679636136002e-52	5.40330859484651e-49
FOSB	256.520597718513	4.21958440680514	0.28489946016161	6.78550301818118e-51	1.82213374381559e-47
CLIC4	2830.64028548179	1.9814734860975	0.140196746900054	1.19189356644719e-46	2.74339844894245e-43
JUN	377.910121722698	2.39946462818649	0.180658417626141	1.56741896618234e-41	3.15678179789122e-38
INSIG1	420.465876158118	-3.32288012536972	0.253734946520753	2.45751948812243e-40	4.39950599918095e-37
LDHA	6925.67239227302	-1.5440010541332	0.120488385784278	1.18322532157095e-38	1.90641263811511e-35
ANGPTL4	174.190086219535	-4.17959031803189	0.333284904542614	4.71311949810762e-37	6.90343466850091e-34
MAGEB1	88.330241159338	4.90014847147033	0.395562448102506	4.02838879413999e-36	5.40878335426529e-33
AC093512.2	6391.15706262845	-1.50511897889259	0.122174571809232	6.14745626851649e-36	7.61906272294906e-33
GPI	3318.94034880462	-1.68551685807356	0.137397595214545	1.15297299949618e-35	1.32690721199161e-32
ALDOA	6464.51721679957	-1.49036119610678	0.122154825698476	2.68164413479774e-35	2.88044335332408e-32
THSD4	511.839812801499	1.89336767330012	0.156053514163026	4.09818240238217e-35	4.12686967919884e-32
ENO2	529.427052274427	-2.53594398901396	0.210701068757122	2.17479791520638e-34	2.06119670645913e-31
PGAM1	1725.64709714185	-1.66148447233992	0.142173207751494	1.29930521759731e-32	1.16302253699599e-29
HS3ST1	275.478194400381	-2.45916729755756	0.213106730236351	5.018978623909e-32	4.25609387307484e-29
AC092073.1	867.627867865736	-1.8214357928243	0.159347037109459	2.57606514468295e-31	2.07527808055659e-28
GAS6	231.879967614849	-2.41410896128073	0.213160278869142	8.93030177834676e-31	6.85166772632014e-28
SHC1	2004.99709462547	1.23953744221862	0.10963702663228	9.7474544062177e-31	7.13868115422634e-28
AC021660.3	937.374520673356	-1.61922836106248	0.14459002719991	3.36115072445001e-30	2.35455915097124e-27
