baseMean	log2FoldChange	lfcSE	pvalue	padj
NQO1	1646.21330481188	-1.45473416361822	0.090757922806655	1.27153910214329e-58	1.79973644517361e-54
SUSD2	323.594974730163	3.33317256211275	0.233811001542015	5.43473914266711e-47	3.84616489126552e-43
ARRDC4	343.814642694991	1.96416562404917	0.145930393039533	1.3820427960853e-42	6.52047791193042e-39
NTSR1	297.602134818019	-1.95128013017737	0.159668006183038	1.40357027470057e-35	4.96653341702796e-32
CPOX	1270.86058799752	-1.05775306574078	0.0872677098510778	7.82849868448865e-35	2.21609140760505e-31
HNRNPA3	2281.92499045478	-0.809762844492236	0.0677516640937816	3.74157119938696e-34	8.82636645935384e-31
MAL2	1561.63119427418	-1.08639841226617	0.0926231831917095	6.3413338619957e-33	1.28221770689553e-29
TSC22D1	1221.85230719429	-0.963066695982123	0.0842863881441235	2.28652118033096e-31	4.04542759830055e-28
MTHFR	585.069183462991	1.24726126066067	0.111962622892289	5.15071355867171e-30	8.10035552327105e-27
ATF3	795.469460714908	1.1432323980869	0.104486296558894	4.79201232631033e-29	6.78261424665964e-26
MKI67	1425.72106988314	-1.04531241945015	0.0967303829993698	2.30889443399985e-28	2.97091743807581e-25
MT-TV	1375.64308919408	0.981409618509241	0.0921894809503856	1.44674676141126e-27	1.70643780508458e-24
HNRNPA2B1	3372.84421154468	-0.762485406369394	0.0745495821950548	1.38435949824172e-25	1.50724802600872e-22
MCM4	408.727037454989	-1.42640705026546	0.140684781456259	2.9293872310015e-25	2.96161049054252e-22
PJA2	1855.29733401285	0.928981066555864	0.0919551143304458	4.07585239363198e-25	3.84597431863114e-22
UCA1	302.49094012352	-1.35146889760119	0.135522722728486	1.60725192244401e-24	1.42181523189203e-21
HNRNPD	1529.07746897769	-0.841253134863179	0.0846071116829626	1.95283718120086e-24	1.62590926251277e-21
NT5E	405.551021840088	-1.4369530055175	0.146551436342699	6.52848431881916e-24	5.13356483603147e-21
DCBLD2	1222.96351186199	-1.03948828858244	0.107019857364378	1.77500879268868e-23	1.32228812903767e-20
ADAM19	491.777052120444	-1.07058542623299	0.111130669154283	4.07843105402155e-23	2.88630565693105e-20
AGPS	518.627202410357	1.13180690216187	0.117680341684266	4.85335696226505e-23	3.27116259256664e-20
RCBTB1	168.048676524075	2.05572139250584	0.213904455854802	5.32791888880924e-23	3.42778927055482e-20
PPP3CA	374.444005679855	-1.33777938654415	0.14018729625492	1.17594650449769e-22	7.23667253246101e-20
UPF2	766.132612969883	0.893630870974972	0.0938435535747507	1.42088971460086e-22	8.37969709185859e-20
AP1S3	585.1963444263	-1.09740368852711	0.115645754587458	1.53485472063231e-22	8.68973348633187e-20
TMF1	1137.40763322931	0.872504303124612	0.0927644708055325	3.45109068223067e-22	1.87872067370357e-19
JUND	1461.14468687926	0.893795054036514	0.0978430097617898	3.28143057388332e-21	1.72019882750906e-18
