baseMean	log2FoldChange	lfcSE	pvalue	padj
CPA4	822.244102698048	1.40591522480182	0.106019472441713	2.63831246901146e-41	3.245388168131e-37
ID3	638.357983284436	-1.65884549383223	0.129290824750154	7.07054659875628e-39	4.34873968556505e-35
GPAT3	313.458229027661	1.48579235677825	0.128254131323767	2.69362280277984e-32	1.10447513656649e-28
KLF10	838.193366431928	-1.12971038978501	0.0977075871845801	3.59956586676932e-32	1.10695649317823e-28
COL12A1	750.25188554084	1.0793958644742	0.100795665236715	5.43328851963907e-28	1.3366976416016e-24
IER5L	1006.91232348393	-1.09815284819881	0.103324196728098	1.25765429944943e-27	2.21005793393249e-24
MT2A	470.62008586649	1.34752499777304	0.126604992590484	1.08825911675066e-27	2.21005793393249e-24
SOX4	674.741712909341	-1.65547499958938	0.157063425529017	2.48636941186173e-27	3.82310376691389e-24
ITGA6	1042.24276661579	0.881424523085193	0.0866625053071111	1.75367636754396e-25	2.39688588857314e-22
DHCR24	470.454259352636	1.31169368432338	0.129419201960726	2.63239828994664e-25	3.23811313646336e-22
CYP24A1	711.990399146358	-1.20647796438259	0.12086430591113	1.21456917671228e-24	1.35821958570343e-21
RCBTB1	168.048676524075	2.13211049828598	0.215249639266923	2.60736268675217e-24	2.67276403414487e-21
SUSD2	323.594974730163	2.4292325818508	0.245175538075518	3.48789935212141e-24	3.30035768695734e-21
RBCK1	697.690573677142	1.05478220473605	0.115276166557584	3.38965177719656e-21	2.97829332223535e-18
SERPINE1	394.853256199904	1.17317615855026	0.128600131352857	4.54224503501082e-21	3.72494374504454e-18
HSPA1B	694.233295942865	-1.0414038880335	0.114645242197468	4.87208572140819e-21	3.74572040369014e-18
AL138963.4	192.995907435674	-1.93009324342387	0.212761104324457	7.74632733557273e-21	5.60515132675766e-18
ITGB1	4734.56867759506	0.567975016700888	0.0644483271036537	1.07623137775235e-19	7.35484565429537e-17
CD109	710.344070087608	0.884156862679366	0.101780391289575	2.25839145933472e-19	1.46213017585665e-16
AGPS	518.627202410357	1.03364802706225	0.120112169306776	4.61096127744469e-19	2.83597173369236e-16
C1orf116	176.401665107373	1.51057139328233	0.178808774463512	1.68777653065205e-18	9.88635195407185e-16
ID2	582.441095851161	-1.8566272663706	0.227313781617692	1.6427345931651e-17	9.18512646841996e-15
KITLG	2809.08609355748	-0.968404633496623	0.118525143283094	2.11237126000582e-17	1.12975125518833e-14
BMP4	383.393746937931	-1.20125023086762	0.1480991919365	3.11540403631482e-17	1.57135319024109e-14
SUMO3	132.726953532747	1.6376546647461	0.2020838130212	3.19354765921691e-17	1.57135319024109e-14
LUC7L2	591.32807172938	0.858323957527454	0.108877278238754	1.95115134127698e-16	9.2311971727108e-14
STC2	836.499043930526	0.882955376598822	0.112179695656194	2.46162956083342e-16	1.12150019362266e-13
ELF3	956.150134820223	-0.713117026352983	0.090979041025404	4.66789155847555e-16	2.05070478788599e-13
LAMB3	1581.46896102796	0.772910458652256	0.102146060265946	2.66916718268885e-15	1.13218708669847e-12
SLC7A11	400.433278511667	1.13617499285672	0.152189833480776	5.01480584194298e-15	2.05623755539135e-12
LIMA1	1808.45494856998	0.569779468993272	0.0782314542516787	2.51696676354051e-14	9.98748650268121e-12
F3	536.464514687457	0.724261901381336	0.099990185051551	3.08347602819745e-14	1.18530745696428e-11
NT5E	405.551021840088	0.964994748255839	0.134582529076641	4.16781681930634e-14	1.55358529376628e-11
MSX1	379.030905794005	-0.979173463369311	0.136686413649915	5.47141915459834e-14	1.97952726531512e-11
CDCP1	1562.46020742811	0.657526709454937	0.0925862801286028	9.10330070990759e-14	3.19942005807352e-11
ASPH	4677.56739198687	0.483563168332026	0.0679954593972465	1.49799400868784e-13	5.11856230579698e-11
GRB7	420.094781415629	0.994286744034604	0.142279043754405	1.66636385800215e-13	5.53998427494174e-11
HERPUD1	932.002789633571	0.84366250678533	0.120416009098513	1.76686134340403e-13	5.71951615400341e-11
SLC25A46	104.173828808768	1.97616807275489	0.283036043986669	1.93790729763857e-13	6.11235837647489e-11
TOP2A	1297.99097963397	0.636471099022145	0.0916503900005678	2.19920886183671e-13	6.76311705236336e-11
CAPN2	2264.11817725142	0.519698385997181	0.0743943501635762	3.46262740759659e-13	1.03887267660599e-10
FMC1-LUC7L2	472.190657368477	0.771275331520036	0.112217901261161	4.29783568636274e-13	1.25875420899876e-10
GDF15	3586.07691094786	-0.56977864267189	0.0829156091124399	5.57160705606808e-13	1.59386833480682e-10
ERRFI1	4576.44669009099	0.519048198997012	0.0755462867965438	6.29871282499346e-13	1.76091969227829e-10
ELOVL1	466.232842935077	0.823309739948264	0.121162678185502	7.09581961756373e-13	1.93968171368114e-10
SESN2	349.769061605704	0.93866430107982	0.138441290871934	7.2557059959246e-13	1.94027042295366e-10
SPATS2	706.935280388589	0.709540956798493	0.104837791843108	8.22888351810354e-13	2.15369140757855e-10
ID1	2496.42356297979	-0.574963139191863	0.0845114960654821	1.03706401749498e-12	2.65769259983453e-10
KPNA2	1696.49552158725	0.612660872931452	0.0906450249371291	1.36818009989842e-12	3.43469049160214e-10
LURAP1L	55.4280348048941	1.82443259524034	0.274633154345429	1.60757039281953e-12	3.9549446804146e-10
TJP3	682.200141684218	-0.80922522205611	0.121656979889085	1.64816725114204e-12	3.97531477574474e-10
KRT7	872.191114155622	-0.655772288286416	0.0983123033199388	2.21508781948571e-12	5.23996062836418e-10
AGPAT4	249.867976693519	1.06972082068299	0.163074652974817	2.9796617840088e-12	6.91562634058344e-10
CNBP	2196.91303379994	0.56917952747913	0.0860462868542671	3.47415802974591e-12	7.91400331924156e-10
CTNNAL1	1344.84562938763	0.593137759960134	0.0907126685114932	5.47083311011352e-12	1.16028824288804e-09
MKI67	1425.72106988314	0.61441923721603	0.0939692949681116	5.44493548038271e-12	1.16028824288804e-09
SYT1	582.504609323834	0.810662851710863	0.124964123383675	5.33421702514778e-12	1.16028824288804e-09
SDC4	1324.82920844783	0.680117215622058	0.104264892317974	5.2028308552475e-12	1.16028824288804e-09
PSD3	550.227504969593	0.681624736156466	0.104768829113139	6.09284013869768e-12	1.27030553468e-09
NES	125.429300481135	-1.46112614612824	0.226832492735214	7.43069453479645e-12	1.52341622454219e-09
ADAM9	1648.95596311151	0.467080376742868	0.0721945900696545	9.84101093630738e-12	1.98449632012323e-09
ARTN	186.121171344793	1.08092521394174	0.170222071567745	1.22410276390835e-11	2.42865937078009e-09
ETS1	173.022942831418	1.12921586501997	0.177978265370824	1.25403942128625e-11	2.4485617335305e-09
CRABP2	492.268064348918	-0.717484875100818	0.114410648675061	2.55010539718753e-11	4.90138226418809e-09
CDKN1A	2670.47284472905	-0.491422870667264	0.0770335900337945	2.85384468063783e-11	5.40079129485015e-09
