gene  baseMean	log2FoldChange	lfcSE	pvalue	padj
VCAN	896.609387366975	-3.13719174678792	0.133428556527961	1.24190871931501e-123	1.83454756017213e-119
NQO1	1646.21330481188	-1.57805309732851	0.0928117947473581	3.08770298861877e-65	2.28057742739382e-61
NTSR1	297.602134818019	-2.25586980656043	0.168664958599516	6.03679714839775e-42	2.97251891587105e-38
ARRDC4	343.814642694991	1.87787589564556	0.148346172454634	5.07782644292678e-38	1.87524130537286e-34
SUSD2	323.594974730163	3.00993649100532	0.239179977392096	2.80134335942758e-37	8.27628882109283e-34
CPOX	1270.86058799752	-1.11021553618363	0.0891614292916764	1.35590533029989e-36	3.33823892319833e-33
MAL2	1561.63119427418	-1.17002070717513	0.0941359233387236	1.77414834064679e-36	3.74395989829063e-33
HNRNPA3	2281.92499045478	-0.792360975672192	0.0687376554659979	1.19032412130366e-31	2.19793348998721e-28
PJA2	1855.29733401285	1.03864023437397	0.0922830689691822	1.82772179663323e-30	2.999900708874e-27
TSC22D1	1221.85230719429	-0.96206686953528	0.085821476353746	3.41370977490881e-30	5.0427320794953e-27
MT-TV	1375.64308919408	1.02651138567479	0.0927977016735843	1.50578180778237e-29	2.02212807859647e-26
MTHFR	585.069183462991	1.19993349319679	0.113855416230764	4.15267279066047e-27	5.11194020530304e-24
ATF3	795.469460714908	1.10693227082897	0.105929993153687	1.18144146574114e-26	1.34248102553293e-23
AGPS	518.627202410357	1.22304141248721	0.118968370129557	6.32815762396763e-26	6.67711031580356e-23
MKI67	1425.72106988314	-1.00371009701292	0.0979236461870976	9.21761004467574e-26	9.07750237199667e-23
AP1S3	585.1963444263	-1.21020906503633	0.119106475256909	2.12366241344398e-25	1.96067132321215e-22
DKK1	827.429708083015	-1.14697167183364	0.113320648472781	2.52139341094419e-25	2.19094255685104e-22
NT5E	405.551021840088	-1.53215849495509	0.151618911831124	3.19842767129377e-25	2.62484297557509e-22
ADAM19	491.777052120444	-1.12040923160844	0.114775162002543	1.29506063263209e-23	1.00687556132849e-20
TMF1	1137.40763322931	0.90913863578032	0.0936226863754185	1.96854147801e-23	1.45396473565818e-20
HNRNPA2B1	3372.84421154468	-0.728985496371159	0.0751110500864145	3.59692012664492e-23	2.53017638622851e-20
NUP210	679.081676675825	-1.07084035384198	0.111352466422887	5.23364723452939e-23	3.51415622493037e-20
MCM4	408.727037454989	-1.37453356233334	0.1436526019909	7.85517648133496e-23	5.04507247749044e-20
TYMS	453.308176072658	-1.3483275456942	0.142166797583349	1.66653991087481e-22	1.02575531514344e-19
USO1	2047.97956616368	0.696437961330166	0.0730489997583967	1.89542702163896e-22	1.11996991854603e-19
UCA1	302.49094012352	-1.30664346540448	0.139331527456164	3.80702365487856e-22	2.16297513191793e-19
UPF2	766.132612969883	0.878018358121402	0.0953945494558227	3.27596727337245e-21	1.79231809489844e-18
RCBTB1	168.048676524075	1.96884239765674	0.218408180104122	1.27950384341552e-20	6.75029670533358e-18
DCBLD2	1222.96351186199	-0.963489126717699	0.108139555308444	3.03362340043516e-20	1.54526499555959e-17
ITGB4	2899.14509104559	-0.817772545059613	0.091693474398051	3.909438778521e-20	1.92500765454374e-17
GOLGA2	1527.07477287625	0.758111538224846	0.0850684287711122	5.75790109612389e-20	2.74373274167555e-17
AXL	797.739389346163	-0.905801425043233	0.102363742506531	7.49068328555618e-20	3.45788667169487e-17
KRT7	872.191114155622	-0.866452241320939	0.0994902973312405	1.46538004190099e-19	6.55957393301861e-17
WNT16	416.946290573539	-1.17312306977222	0.134524531422889	2.01886352701455e-19	8.77136824148793e-17
UBXN7	1333.95157348211	0.814372619648133	0.0933079270216828	2.24298832176282e-19	9.46669242545154e-17
MYC	1083.53318746535	-0.856850924944724	0.0982763782596938	2.52485074586867e-19	1.03603042272144e-16
GPR107	1471.73330379668	0.783518205057604	0.0898855091516043	2.61807713322746e-19	1.0452496057307e-16
CAV1	1242.6487462566	-0.824217967298439	0.0952982413216823	5.07462271542266e-19	1.97269280926904e-16
TTC3	1838.66893912968	0.815329282992729	0.0945803878848994	6.64225710100824e-19	2.51588261272035e-16
CHD2	1722.89138556375	0.734453431021117	0.0856618583893205	1.12991701034022e-18	4.17278351918644e-16
PHGDH	524.910093417528	-1.08800904150446	0.12781081307792	1.24522530219431e-18	4.48645564975961e-16
MYO6	1094.27156583795	0.930002195052087	0.10927340687915	1.50048149001593e-18	5.27740775488461e-16
AKAP12	17975.6303442517	-0.675434024675756	0.0791688562037633	1.6496199844673e-18	5.66702009547697e-16
SEC24C	1123.09504441675	0.744714332469621	0.0879664007791844	2.64010886072184e-18	8.86356547513249e-16
PTMA	12462.2764956569	-0.531696154175678	0.0640066220530997	5.2648069230479e-18	1.72826061927252e-15
SEC31A	1592.67116344657	0.665346648425754	0.0793884634265521	6.86789331601814e-18	2.20548956661348e-15
CCDC186	671.651142083428	1.02236239764612	0.123145029969495	8.01880197508606e-18	2.52029239948875e-15
PPP3CA	374.444005679855	-1.18052583067568	0.142542560016151	9.42369934556441e-18	2.88581798485427e-15
MCM5	240.148960630472	-1.43850145314071	0.173387997367919	9.57250753167204e-18	2.88581798485427e-15
CCNI	3504.38746254563	0.663334160282707	0.0794584036783374	1.06608852019191e-17	3.14965192405497e-15
MARF1	1064.54712517376	0.977128867538569	0.119051171252191	1.67530885063839e-17	4.85248281208438e-15
ELP2	1166.39904962581	0.717760239508062	0.0872430939875793	2.01635492682433e-17	5.72799903443251e-15
TMEM87A	860.81967272604	0.914270172910917	0.111486237679488	2.07346164662245e-17	5.77908970639752e-15
SPTY2D1	894.844049706569	0.830508226944133	0.101373751557863	2.73188805854569e-17	7.47323155571054e-15
ACBD3	1220.96711033304	0.726264320622775	0.0886195368365476	2.9178507475533e-17	7.83681658961041e-15
CASC3	1068.41328097639	0.756873328673595	0.0937092786887173	7.00331377660792e-17	1.8473741269295e-14
EREG	3001.48853827896	-0.618506859232338	0.0763803161856509	8.18621798933488e-17	2.12152301997289e-14
AKAP9	715.038217994921	1.17039870971482	0.146388819494539	9.0397533213131e-17	2.30233165624892e-14
BRWD3	398.99502410483	1.31915155287311	0.164629159490198	1.00033556978712e-16	2.5045689893043e-14
