KDM6A_KO_41_S19	KDM6A_KO_51_S21	KDM6A_KO_54_S22	UT_24_1_S52	UT_24_2_S53
DDX11L1	0	0	0	0	0
WASH7P	24.1875846754986	49.2862133302439	38.5105082174909	69.7972815042086	46.1487528656445
MIR6859-1	0	11.8286911992585	5.92469357192167	9.69406687558452	11.447752648842
MIR1302-2HG	0	0	0	0	0
MIR1302-2	0	0	0	0	0
FAM138A	0	0	0	0	0
OR4G4P	0	0	0	0	0
OR4G11P	0	0	0	0	0
OR4F5	0	0	0	0	0
AL627309.1	2.41875846754986	0	1.48117339298042	0.387762675023381	0.715484540552628
AL627309.3	0	0	1.48117339298042	0.387762675023381	0.357742270276314
CICP27	0	0	0	0	0
AL627309.6	4.83751693509972	1.97144853320975	7.40586696490209	6.97972815042086	6.08161859469734
AL627309.7	9.67503387019945	9.85724266604877	5.92469357192167	16.286032350982	9.30129902718416
AL627309.2	0	3.94289706641951	1.48117339298042	0.775525350046762	1.43096908110526
AL627309.5	2.41875846754986	1.97144853320975	0	4.26538942525719	2.14645362165788
RNU6-1100P	0	0	1.48117339298042	0.775525350046762	0.715484540552628
AL627309.4	0	0	0	0	0
FO538757.1	0	0	0	0.387762675023381	1.43096908110526
WASH9P	65.3064786238463	86.7437354612292	38.5105082174909	45.3682329777356	50.7994023792366
MIR6859-2	0	0	0	1.55105070009352	1.07322681082894
AP006222.1	0	1.97144853320975	0	0.387762675023381	1.07322681082894
AP006222.2	0	0	0	0	0
RPL23AP24	0	1.97144853320975	0	0.387762675023381	0
AL732372.1	0	0	0	0	0
AL732372.2	4.83751693509972	13.8001397324683	17.774080715765	13.1839309507949	17.1716289732631
WBP1LP7	0	0	0	0	0
OR4F29	0	0	0	0	0
CICP7	0	0	0	0	0
AL732372.3	0	0	0	0.775525350046762	0
FO681485.1	0	0	0	0	0
AL669831.3	2.41875846754986	3.94289706641951	4.44352017894125	10.0818295506079	8.22807221635522
AC114498.1	0	0	0	0	0
MTND1P23	0	3.94289706641951	1.48117339298042	0.775525350046762	0.715484540552628
MTND2P28	783.677743486155	885.18039141118	907.959289896996	537.826830257429	489.391425737998
MTCO1P12	328.951151586781	386.403912509112	416.209723427497	198.922252286994	168.496609300144
AC114498.2	0	0	0	0	0
MTCO2P12	2.41875846754986	7.88579413283902	1.48117339298042	2.32657605014029	1.07322681082894
MTATP8P1	0	5.91434559962926	1.48117339298042	1.16328802507014	2.14645362165788
MTATP6P1	5708.26998341767	5782.25854790421	6580.85338501199	3758.58360900163	3594.5943317364
MTCO3P12	19.3500677403989	15.771588265678	23.6987742876867	8.91854152553776	5.0083917838684
WBP1LP6	0	0	0	0	0
OR4F16	0	0	0	0	0
CICP3	0	0	0	0	0
AL669831.1	21.7688262079488	25.6288309317268	39.9916816104713	55.4500625283435	40.0671342709472
RNU6-1199P	0	0	0	0	0
AL669831.2	0	0	0	0	0
LINC01409	2.41875846754986	1.97144853320975	10.3682137508629	5.42867745032733	4.29290724331577
AL669831.6	0	0	1.48117339298042	0	0
AL669831.4	4.83751693509972	5.91434559962926	1.48117339298042	4.26538942525719	3.21968043248683
FAM87B	0	0	0	0	0
LINC01128	101.587855637094	82.8008383948097	74.0586696490209	92.2875166555646	81.5652376229996
LINC00115	0	1.97144853320975	0	3.48986407521043	3.21968043248683
AL669831.7	0	0	0	0	0.357742270276314
FAM41C	0	0	0	0	0
TUBB8P11	0	0	0	0	0
AL669831.5	0	0	0	0	0
AL645608.6	0	1.97144853320975	2.96234678596083	1.16328802507014	0.715484540552628
AL645608.2	2.41875846754986	3.94289706641951	4.44352017894125	5.04091477530395	2.86193816221051
AL645608.4	0	3.94289706641951	0	2.71433872516367	1.07322681082894
LINC02593	0	7.88579413283902	7.40586696490209	12.0206429257248	7.15484540552628
SAMD11	26.6063431430485	25.6288309317268	44.4352017894125	27.9189126016834	20.0335671354736
NOC2L	1105.37261967029	1070.4965535329	839.825313819897	1906.62907308996	1780.84102143549
KLHL17	74.9815124940457	185.316162121717	155.523206262944	152.002968609165	150.967238056604
PLEKHN1	41.1188939483477	7.88579413283902	32.5858146455692	38.0007421522913	33.9855156762498
PERM1	0	0	0	1.16328802507014	0.357742270276314
AL645608.7	7.25627540264959	9.85724266604877	4.44352017894125	11.245117575678	12.1632371893947
HES4	130.612957247693	153.772985590361	102.200964115649	180.697406560895	174.220485624565
ISG15	162.056817325841	238.54527251838	336.226360206555	193.105812161644	188.530176435617
AL645608.3	0	0	0	0	0
AL645608.1	0	0	1.48117339298042	0.775525350046762	0
AGRN	246.713363690086	370.632324243434	346.594573957418	565.745742859113	545.556962171379
AL645608.5	43.5376524158975	55.2005589298731	45.9163751823929	72.8993829043956	75.8413612985786
AL390719.1	55.6314447536468	82.8008383948097	50.3598953613342	75.2259589545359	66.8978045416707
AL645608.8	2.41875846754986	0	1.48117339298042	3.87762675023381	2.14645362165788
RNF223	26.6063431430485	7.88579413283902	8.8870403578825	29.8577259768003	24.6842166490657
C1orf159	21.7688262079488	37.4575221309853	32.5858146455692	73.287145579419	60.4584436766971
AL390719.3	0	0	0	0	0
LINC01342	0	0	0	0	0
MIR200B	0	1.97144853320975	0	0	0
MIR200A	0	0	0	0.387762675023381	0.357742270276314
MIR429	2.41875846754986	0	0	1.55105070009352	1.07322681082894
AL390719.2	0	3.94289706641951	2.96234678596083	8.91854152553776	7.87032994607891
TTLL10-AS1	0	0	0	0	0
TTLL10	0	0	0	0.775525350046762	0
TNFRSF18	79.8190294291454	69.0006986623414	87.3892301858446	114.777751806921	122.347856434499
TNFRSF4	0	0	0	0	0.357742270276314
SDF4	720.790023329859	607.206148228604	736.143176311267	822.056871049567	759.129097526338
B3GALT6	104.006614104644	70.9721471955512	62.2092825051775	81.43016175491	70.1174849741575
C1QTNF12	7.25627540264959	1.97144853320975	7.40586696490209	2.32657605014029	3.57742270276314
AL162741.1	2.41875846754986	1.97144853320975	1.48117339298042	1.16328802507014	0.357742270276314
UBE2J2	261.225914495385	216.859338653073	220.694835554082	219.473674063234	220.726980760486
LINC01786	7.25627540264959	3.94289706641951	10.3682137508629	2.71433872516367	1.78871135138157
SCNN1D	9.67503387019945	31.5431765313561	25.1799476806671	12.4084056007482	15.0251753516052
ACAP3	111.262889507294	128.144154658634	136.267952154198	128.349445432739	105.176227461236
MIR6726	0	0	0	0	0
PUSL1	87.075304831795	74.9150442619707	77.0210164349817	119.043141232178	103.029773839578
INTS11	411.188939483477	398.23260370837	333.264013420594	478.111378303829	435.372342926274
MIR6727	0	1.97144853320975	1.48117339298042	1.16328802507014	0.715484540552628
AL139287.1	0	1.97144853320975	10.3682137508629	14.7349816508885	17.1716289732631
CPTP	65.3064786238463	78.8579413283902	75.5398430420013	73.287145579419	63.3203818389076
TAS1R3	0	0	0	0	0
DVL1	669.996095511312	630.863530627121	509.523647185264	909.691235604851	834.61271655464
MIR6808	2.41875846754986	0	0	0.775525350046762	2.5041958919342
MXRA8	0	0	0	1.16328802507014	0.357742270276314
AURKAIP1	241.875846754986	287.831485848624	294.753505203103	453.294567102332	413.907806709695
NDUFB4P8	0	0	0	0	0
CCNL2	590.177066082166	930.523707675004	752.436083634052	528.908288731892	494.757559792142
