baseMean	log2FoldChange	lfcSE	pvalue	padj
chr8:19133771-19136108	717.864376123982	-2.53742337563667	0.202224505852885	2.24361976635026e-37	6.57313282947635e-33
chr22:49385422-49388530	1043.0526956901	-3.05056042150815	0.245872224591086	9.02114428292902e-37	1.32146232028486e-32
chr6:85463158-85465590	594.221222971155	-2.96458057572546	0.239169300489857	1.45747313078054e-36	1.42331967708258e-32
chr22:37327449-37328948	637.94641350397	-2.82934963228416	0.232039325223885	1.59603250505153e-35	1.16897410751236e-31
chrX:45709265-45711663	864.164108516662	-3.01147865036458	0.249166170598172	5.71922625098072e-35	3.35112342949964e-31
chr12:65654974-65658112	1172.72154269367	-3.09611081976399	0.263665781180575	3.48656313319532e-33	1.70243066855372e-29
chr13:44312582-44314784	571.282698215319	-2.52204482619418	0.220197214383285	1.48588466878141e-31	6.218851877327e-28
chr2:138947332-138950015	310.100935336528	-3.05404589380684	0.270443376490765	8.6910033275456e-31	3.18275405608879e-27
chr17:17014387-17015597	252.221606251412	-3.28406720225136	0.295121619588935	3.592131550434e-30	1.16931864481183e-26
chr3:111922707-111924686	1107.26441343843	-2.27900781060158	0.210622471774942	1.44487809041422e-28	4.23305934148655e-25
chr1:228543341-228545935	309.575638686504	2.72713668732171	0.264227624080632	3.91077374486952e-26	9.54782820028685e-23
chr21:34807006-34809052	474.24332107446	-2.34315102101276	0.227073349103714	3.82771172248552e-26	9.54782820028685e-23
chr8:129684594-129686418	560.692112468076	-2.57438713851246	0.250569595835276	4.27725986535562e-26	9.63929863656335e-23
chr2:45961049-45964511	654.247972972336	-2.12358282953354	0.209886299218303	2.66281940401784e-25	5.57233000567933e-22
chr17:50638196-50639731	384.875177380943	-2.54323208104617	0.260377234961751	1.1324046637774e-23	2.21173729564576e-20
chr12:65430135-65432689	820.322405475755	-2.6250595423961	0.271250101676909	1.75023733748354e-23	3.20479395476595e-20
chr12:65648327-65650183	705.331888657245	-2.44011642378213	0.252706072654888	2.17128828508909e-23	3.74189605225029e-20
chr2:97868383-97871802	775.539407108179	-1.85911724965378	0.194714146797085	8.13724109398049e-23	1.32442640183526e-19
chr6:113351760-113353617	330.495405422312	-2.23609699762414	0.237897152437593	3.45126458827638e-22	5.32166834961753e-19
chr22:49383560-49384266	205.591627339259	-3.05588814132801	0.327420055154046	6.70664929937005e-22	9.82423522618222e-19
chr2:62577143-62579998	871.080544469982	-2.03282289265086	0.222207248913204	3.30030897432006e-21	4.60424533431689e-18
chr5:57365960-57368156	615.263611523647	-1.87583443764789	0.204800347473648	3.68091391500077e-21	4.90180613489897e-18
chr6:130516677-130518401	421.710838525137	-2.27199108145434	0.249516101147561	4.15885840883967e-21	5.29748151320764e-18
chr20:51630883-51632208	137.386294659722	-3.13737173507078	0.347707343309496	1.18218669258584e-20	1.44310514719531e-17
