baseMean	log2FoldChange	lfcSE	pvalue	padj
chr3:108130805-108133685	166.070501377616	2.99266487000863	0.320451437291204	5.08481291869964e-22	8.91360004141516e-18
chr5:89312688-89314807	354.283907906961	2.29845868800154	0.24803714200423	6.63584592697946e-22	8.91360004141516e-18
chr2:207393812-207396042	409.09739366217	2.35970093434659	0.254755035332637	1.58927065922941e-21	1.42319187533994e-17
chr10:79331194-79332405	116.224949096068	3.92318425686082	0.43445681331585	5.82177898925264e-21	3.9100523136568e-17
chr7:18508082-18510070	595.609302221362	2.02015276359664	0.225075824912537	2.47071705303743e-20	1.32751627259701e-16
chr2:186543525-186545250	231.380867527054	2.54972518702276	0.287669671441807	3.00816910338169e-20	1.34690771603915e-16
chr3:10191299-10193364	280.106088488361	2.52480163984703	0.290496344774102	2.18845881807838e-19	7.34911826845945e-16
chr7:92641568-92642674	149.642026270902	3.18030039788805	0.367746116179728	2.05539729308135e-19	7.34911826845945e-16
chr11:13072906-13074446	156.240032925277	2.77133380218905	0.320293924979634	3.62574975940327e-19	1.08228630318187e-15
chr12:52440677-52443324	420.721423429268	1.96914801253719	0.23746576392376	5.9069645120941e-18	1.58690601617408e-14
chr5:115940135-115941872	437.04326536723	1.99085224224795	0.243254920073359	1.21058878424473e-17	2.95658797170315e-14
chr17:42328789-42329888	112.038005770985	3.05780229111994	0.391211692397128	1.74111140253745e-16	3.89791315243071e-13
chr1:10598421-10600309	318.381945795361	2.21482714304244	0.279685928821318	2.7221268142222e-16	4.87532912427196e-13
chr1:205293342-205295254	268.514596424739	2.09377268793559	0.268540342029023	2.46787296600542e-16	4.87532912427196e-13
chr2:142873037-142874985	106.999968280755	2.97728818019676	0.380007659851841	2.63935101263074e-16	4.87532912427196e-13
chr6:161127968-161129251	84.2575192655006	3.46203072499423	0.441361205883696	5.40602202730134e-16	9.07704886021566e-13
chr5:74315584-74316896	82.4517014463115	3.43068148755635	0.444847361363367	1.62562200223492e-15	2.56896088764948e-12
chr18:9657357-9658936	227.685415817465	2.09492028143893	0.274317440769574	1.75282670692493e-15	2.61609386008546e-12
chr12:95116671-95119673	366.956176995504	1.72794876608392	0.237617032313674	1.78670404671225e-14	2.52630404908532e-11
